"taxon","mass_g","source_mass","n"
"Abalistes",2543,"fishbase-Cai_etal_2025",2
"Abatus",2.425,"Brose_etal_2018-Brose_etal_2018-Brose_etal_2018-Brose_etal_2018",4
"Abax",0.4966,"Brose_etal_2018; Brose_etal_2018-Brose_etal_2018; Brose_etal_2018-Brose_etal_2018",5
"Abbottina",17.49,"Cai_etal_2025-Cai_etal_2025; fishbase-Cai_etal_2025; Killen_etal_2016-Cai_etal_2025",6
"Abditomys",269,"Faurby_etal_2018; Smith_2003",2
"Abeillia",2.7,"Wilman_etal_2014",1
"Abeomelomys",52,"Faurby_etal_2018; Smith_2003",2
"Ablabesmyia",0.001004,"Brose_etal_2018",1
"Ablennes",2949,"Cai_etal_2025; fishbase",2
"Ablepharus",2.708,"Feldman_etal_2016; Meiri_2018-Feldman_etal_2016; Meiri_2018-Feldman_etal_2016; Meiri_2018-Feldman_etal_2016; Meiri_2018-Feldman_etal_2016; Meiri_2018-Feldman_etal_2016; Meiri_2018-Feldman_etal_2016; Meiri_2018-Feldman_etal_2016; Meiri_2018-Feldman_etal_2016; Meiri_2018-Feldman_etal_2016; Meiri_2018",20
"Abra",0.001727,"Brose_etal_2018",1
"Abralia",10,"sealifebase",1
"Abramis",2311,"AnAge; Brown_etal_2018; Cai_etal_2025; Castro_2025; DeLong_etal_2018; fishbase; Makarieva_2008",7
"Abramites",35.2,"Cai_etal_2025",1
"Abrawayaomys",63,"Faurby_etal_2018; Smith_2003",2
"Abrocoma",254.2,"AnAge; Faurby_etal_2018; Smith_2003-Faurby_etal_2018; Smith_2003-Faurby_etal_2018-Faurby_etal_2018; Quaardvark; Smith_2003-Faurby_etal_2018-Faurby_etal_2018-Faurby_etal_2018-Faurby_etal_2018",13
"Abronia",25.69,"Feldman_etal_2016; Meiri_2018-Feldman_etal_2016; Meiri_2018-Feldman_etal_2016; Meiri_2018-Feldman_etal_2016; Meiri_2018-Feldman_etal_2016; Meiri_2018-Meiri_2018-Feldman_etal_2016; Meiri_2018-Feldman_etal_2016; Meiri_2018-Feldman_etal_2016; Meiri_2018-Feldman_etal_2016; Meiri_2018-Feldman_etal_2016; Meiri_2018-Feldman_etal_2016; Meiri_2018-Feldman_etal_2016; Meiri_2018-Feldman_etal_2016; Meiri_2018-Feldman_etal_2016; Meiri_2018-Feldman_etal_2016; Meiri_2018-Feldman_etal_2016; Meiri_2018-Feldman_etal_2016; Meiri_2018-Feldman_etal_2016; Meiri_2018-Feldman_etal_2016; Meiri_2018-Feldman_etal_2016; Meiri_2018-Feldman_etal_2016; Meiri_2018-Feldman_etal_2016; Meiri_2018-Feldman_etal_2016; Meiri_2018-Feldman_etal_2016; Meiri_2018-Feldman_etal_2016; Meiri_2018-Feldman_etal_2016; Meiri_2018-Feldman_etal_2016; Meiri_2018-Feldman_etal_2016; Meiri_2018",57
"Abroscopus",5.34,"Wilman_etal_2014-Wilman_etal_2014-Wilman_etal_2014",3
"Abrothrix",34.13,"Faurby_etal_2018; Smith_2003-Faurby_etal_2018-Smith_2003-Faurby_etal_2018; Smith_2003-Faurby_etal_2018; Smith_2003-Faurby_etal_2018; Smith_2003-Faurby_etal_2018; Smith_2003; Tucker_etal_2014b-Faurby_etal_2018; Smith_2003",15
"Abudefduf",126.3,"Cai_etal_2025-Brose_etal_2018; Mahe_2023-DeLong_etal_2018-fishbase; Froese_2014-Cai_etal_2025",5
"Aburria",1405,"Wilman_etal_2014",1
"Abyla",0.494,"Pata_2025",1
"Abyssocucumis",0.15,"Brose_etal_2018",1
"Abyssorchomene",0.87,"Brose_etal_2018-Brose_etal_2018-Brose_etal_2018",3
"Acacia",458.5,"Brown_etal_2018",1
"Acalyptophis",238.2,"Verberk_2020",1
"Acanalonia",0.011,"Brose_etal_2018",1
"Acanthagenys",47.8,"Wilman_etal_2014",1
"Acanthaluteres",2625,"Cai_etal_2025",1
"Acanthamoeba",4.558e-09,"Castro_2025; DeLong_etal_2010; DeLong_etal_2010-Makarieva_2008-Castro_2025; DeLong_etal_2010-DeLong_etal_2010-Castro_2025; DeLong_etal_2010",9
"Acanthaspis",0.401,"DeLong_etal_2018",1
"Acanthemblemaria",0.35,"Pauly_2024-Pauly_2024",2
"Acanthephyra",3.392,"Donnelly_1993-Donnelly_1993-Pata_2025-Makarieva_2008-Kalytiak_estimated; Donnelly_1993",2
"Acanthidops",16,"Wilman_etal_2014",1
"Acanthina",3.217,"Brose_etal_2018-Novak_estimated-Novak_estimated",1
"Acanthinucella",0.825,"Novak_estimated-Novak_estimated",0
"Acanthinula",0.04713,"Brose_etal_2018",1
"Acanthis",15.22,"Makarieva_2008-Cai_etal_2025; Makarieva_2008",3
"Acanthisitta",6.905,"Cai_etal_2025; Wilman_etal_2014",2
"Acanthistius",934.5,"Pauly_2024-fishbase",2
"Acanthiza",7.153,"Wilman_etal_2014-Lislevand_etal_2007; Wilman_etal_2014-Lislevand_etal_2007; Wilman_etal_2014-Lislevand_etal_2007; Wilman_etal_2014-Lislevand_etal_2007; Wilman_etal_2014-Lislevand_etal_2007; Wilman_etal_2014-Lislevand_etal_2007; Wilman_etal_2014-Wilman_etal_2014-Cai_etal_2025; Lislevand_etal_2007; Wilman_etal_2014-Lislevand_etal_2007; Lislevand_etal_2007; Wilman_etal_2014-Lislevand_etal_2007; Wilman_etal_2014-Lislevand_etal_2007; Wilman_etal_2014-Lislevand_etal_2007; Wilman_etal_2014",26
"Acanthobrama",87.84,"fishbase-fishbase-fishbase",3
"Acanthocardia",3.08,"sealifebase",1
"Acanthocercus",112.4,"Feldman_etal_2016; Meiri_2018-Feldman_etal_2016; Meiri_2018-Feldman_etal_2016; Meiri_2018-Feldman_etal_2016; Meiri_2018-Feldman_etal_2016; Meiri_2018-Feldman_etal_2016; Meiri_2018-Feldman_etal_2016; Meiri_2018-Feldman_etal_2016; Meiri_2018",16
"Acanthochitona",0.1855,"Brose_etal_2018; Brown_etal_2018",2
"Acanthochitonidae",0.003,"Brose_etal_2018",1
"Acanthochromis",10.84,"DeLong_etal_2018; Killen_etal_2016",2
"Acanthocobitis",19.75,"Cai_etal_2025-Cai_etal_2025",2
"Acanthocybium",11040,"fishbase; Hirt_etal_2017",2
"Acanthocyclops",3.964e-05,"DeLong_etal_2018-Brown_etal_2018; DeLong_etal_2018-Brose_etal_2018",4
"Acanthocyclus",6.33,"Brose_etal_2018-Brose_etal_2018",2
