taxon,mass_g,source_mass,n,kingdom,phylum,taxon_class,order,family,genus,species,confidence,form,subspecies,variety,log10_mass,log10_pred,residual,abs_residual,class_outlier,severity
Bowerbankia_gracilis,2.51e-05,Brose_etal_2018,1.0,Animalia,Bryozoa,Gymnolaemata,Ctenostomatida,Vesiculariidae,Bowerbankia,Bowerbankia gracilis,99.0,,,,-4.600326278518962,8.168417,-12.768743255447673,12.768743255447673,False,CRITICAL
Cephalodiscus_gilchristi,166000.0,sealifebase,1.0,Animalia,Hemichordata,Pterobranchia,Cephalodiscida,Cephalodiscidae,Cephalodiscus,Cephalodiscus gilchristi,99.0,,,,5.220108088040055,-5.787153,11.007260855221451,11.007260855221451,False,CRITICAL
Actinocyclus_spiritus,1.64e-11,Brose_etal_2018,1.0,Animalia,Mollusca,Gastropoda,Nudibranchia,Actinocyclidae,Actinocyclus,Actinocyclus spiritus,99.0,,,,-10.785156151952302,-0.6690491,-10.116107067765748,10.116107067765748,True,CRITICAL
Picrophilus_oshimae,1e-12,DeLong_etal_2010,1.0,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Picrophilus,Picrophilus oshimae,99.0,,,,-12.0,-1.9096558,-10.090344190597534,10.090344190597534,False,CRITICAL
Elephas_namadicus,13000000.0,Faurby_etal_2018,1.0,Animalia,Arthropoda,Insecta,Coleoptera,Leiodidae,Catops,Elephas namadicus,,,,,7.113943352306837,-2.5934427,9.707386030758375,9.707386030758375,True,CRITICAL
Carangoides_latus,6250.0,Brose_etal_2018,1.0,Animalia,Platyhelminthes,Monogenea,Dactylogyridea,Ancylodiscoididae,Unilatus,Carangoides latus,92.0,,,,3.7958800173440754,-5.0413632,8.837243256632405,8.837243256632405,False,CRITICAL
Trigonodops_lopesi,2295000.0,Faurby_etal_2018,1.0,Animalia,Arthropoda,Insecta,Diptera,Sarcophagidae,Nephochaetopteryx,Trigonodops lopesi,,,,,6.36078268987328,-2.3812356,8.742018289391101,8.742018289391101,True,CRITICAL
Proteus_mor,4e-13,Makarieva_2008,1.0,Animalia,Arthropoda,Insecta,Thysanoptera,Phlaeothripidae,Hoplandrothrips,Proteus mor,,,,,-12.397940008672037,-3.7679365,-8.630003540547648,8.630003540547648,True,CRITICAL
Benthic_algae,1e-10,Brose_etal_2018,1.0,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Enispa,PX clade,,,,,-10.0,-1.8532441,-8.146755933761597,8.146755933761597,True,CRITICAL
Pleuromonas_jaculans,3.018e-11,DeLong_etal_2010-Makarieva_2008,2.0,Protozoa,Arthropoda,Insecta,Hymenoptera,Braconidae,Aspilota,Pleuromonas jaculans,90.0,,,,-10.520280764560429,-2.4062018,-8.114078925113407,8.114078925113407,True,CRITICAL
Nitzschia_pandora,3e-09,Brown_etal_2018,1.0,Animalia,Mollusca,Bivalvia,Entomophthorales,Pandoridae,Pandora,Pandora,,,,,-8.522878745280337,-0.8942653,-7.628613451205325,7.628613451205325,True,CRITICAL
Luciella_masanensis,9.073e-10,DeLong_etal_2018,1.0,Animalia,Mollusca,Gastropoda,Pleurotomariida,Luciellidae,Luciella,Luciella masanensis,94.0,,,,-9.042249089122722,-2.064247,-6.9780021961936445,6.9780021961936445,True,CRITICAL
Baylisascaris_procyonis,5.4,Brose_etal_2018,1.0,Animalia,Nematoda,Chromadorea,Rhabditida,Ascarididae,Baylisascaris,Baylisascaris procyonis,99.0,,,,0.7323937598229685,-5.9181914,6.650585192775849,6.650585192775849,False,CRITICAL
Unidentified_bacterium,6e-13,DeLong_etal_2010,1.0,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,bacterium,,,,,-12.221848749616356,-5.645825,-6.576023840406151,6.576023840406151,False,CRITICAL
Camelia_sasnqua,351000.0,Brown_etal_2018,1.0,Animalia,Chordata,Arachnida,Araneae,Sparassidae,Camilia,Camelia sasnqua,94.0,,,,5.545307116465824,-0.69534093,6.240648047881382,6.240648047881382,False,CRITICAL
Chydorus_sphaericus,10.0,Brose_etal_2018-DeLong_etal_2010-DeLong_etal_2018,3.0,Animalia,Arthropoda,Branchiopoda,Diplostraca,Chydoridae,Chydorus,Chydorus sphaericus,99.0,,,,1.0,-4.760239,5.760239124298096,5.760239124298096,False,CRITICAL
Pleuroxus_denticulatis,22.7,DeLong_etal_2010,1.0,Animalia,Arthropoda,Branchiopoda,Diplostraca,Chydoridae,Picripleuroxus,Picripleuroxus denticulatus,96.0,,,,1.3560258571931227,-4.390462,5.746487778885017,5.746487778885017,False,CRITICAL
Tridacna_gigas,350000.0,Quaardvark-sealifebase,2.0,Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,Tridacna,Tridacna gigas,99.0,,,,5.544068044350276,-0.051457405,5.595525449440608,5.595525449440608,False,CRITICAL
Gadus_morhua,1250000000.0,AnAge-Brose_etal_2018-Brose_etal_2018-Brown_etal_2018-Cai_etal_2025-Castro_2025-DeLong_etal_2010-DeLong_etal_2018-Hirt_etal_2017-Killen_etal_2016-Makarieva_2008-Quaardvark,12.0,Animalia,Chordata,Actinopteri,Gadiformes,Gadidae,Gadus,Gadus morhua,99.0,,,,9.096910013008056,3.566452,5.530457986640869,5.530457986640869,True,CRITICAL
Aliger_gigas,3546.0,sealifebase,1.0,Animalia,Mollusca,Gastropoda,Littorinimorpha,Strombidae,Aliger,Aliger gigas,99.0,,,,3.549738731264899,-1.9607177,5.510456409334967,5.510456409334967,False,CRITICAL
Ceriodaphnia_dubia,16.8,DeLong_etal_2010-DeLong_etal_2018,2.0,Animalia,Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Ceriodaphnia,Ceriodaphnia dubia,99.0,,,,1.2253092817258628,-4.181935,5.407244115252475,5.407244115252475,False,CRITICAL
Other_algae,5.95e-08,Brose_etal_2018,1.0,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Enispa,PX clade,,,,,-7.22548303427145,-1.8532441,-5.372238968033047,5.372238968033047,False,CRITICAL
Eurycercus_longirostris,71.4,DeLong_etal_2010,1.0,Animalia,Arthropoda,Branchiopoda,Diplostraca,Eurycercidae,Eurycercus,Eurycercus longirostris,99.0,,,,1.8536982117761744,-3.5123007,5.365998941527762,5.365998941527762,True,CRITICAL
Eurycercus_vernalis,70.0,DeLong_etal_2010,1.0,Animalia,Arthropoda,Branchiopoda,Diplostraca,Eurycercidae,Eurycercus,Eurycercus vernalis,99.0,,,,1.845098040014257,-3.5123007,5.357398769765844,5.357398769765844,True,CRITICAL
Pleurobranchaea_californica,250.0,Siegler_1977,,Animalia,Mollusca,Gastropoda,Pleurobranchida,Pleurobranchaeidae,Pleurobranchaea,Pleurobranchaea californica,99.0,,,,2.3979400086720375,-2.7572064,5.155146448643961,5.155146448643961,False,CRITICAL
Lugubria_strigata,583.9,fishbase,1.0,Animalia,Arthropoda,Insecta,Diptera,Chloropidae,Neoscinella,Lugubria strigata,,,,,2.7663384752512874,-2.3812356,5.14757407476911,5.14757407476911,False,CRITICAL
Acetes_americanus,0.0001506,Brose_etal_2018,1.0,Animalia,Arthropoda,Malacostraca,Decapoda,Acetidae,Acetes,Acetes americanus,99.0,,,,-3.822175028135318,1.1118683,-4.934043290426272,4.934043290426272,False,CRITICAL
Etheostoma_flabellare,307500.0,Cai_etal_2025-Castro_2025-DeLong_etal_2010-fishbase,4.0,Animalia,Chordata,Actinopteri,Perciformes,Percidae,Etheostoma,Etheostoma flabellare,99.0,,,,5.4878451201114355,0.58691293,4.900932190099686,4.900932190099686,False,CRITICAL
Gobio_gobio,2308000.0,Brose_etal_2018-Cai_etal_2025-DeLong_etal_2010-Makarieva_2008,4.0,Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Gobio,Gobio gobio,99.0,,,,6.363235804483693,1.4960637,4.86717209522466,4.86717209522466,False,CRITICAL
Etheostoma_spectabile,269000.0,Cai_etal_2025-DeLong_etal_2010,2.0,Animalia,Chordata,Actinopteri,Perciformes,Percidae,Etheostoma,Etheostoma spectabile,99.0,,,,5.429752280002408,0.58691293,4.842839349990658,4.842839349990658,False,CRITICAL
Nectarinia_tsavoensis,6.8,Wilman_etal_2014,1.0,Animalia,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Leucas,Nectarinia tsavoensis,92.0,,,,0.8325089127062363,-3.9569633,4.789472213411193,4.789472213411193,False,CRITICAL
Ephestia_kuehniella,1.16e-06,DeLong_etal_2018,1.0,Animalia,Arthropoda,Insecta,Lepidoptera,Pyralidae,Ephestia,Ephestia kuehniella,99.0,,,,-5.935542010773082,-1.3303205,-4.605221533287425,4.605221533287425,False,CRITICAL
Lysmata_wurdemanni,0.0001719,Brose_etal_2018,1.0,Animalia,Arthropoda,Malacostraca,Decapoda,Lysmatidae,Lysmata,Lysmata wurdemanni,99.0,,,,-3.7647241233129476,0.75113654,-4.515860664679525,4.515860664679525,False,CRITICAL
Hippolyte_pleuracantha,9.39e-05,Brose_etal_2018,1.0,Animalia,Arthropoda,Malacostraca,Decapoda,Hippolytidae,Hippolyte,Hippolyte pleuracantha,99.0,,,,-4.027334407733889,0.47651714,-4.503851548599215,4.503851548599215,False,CRITICAL
