"taxon","mass_g","source_mass","n"
"Abalistes_filamentosus",1375,"fishbase",1
"Abalistes_stellaris",3711,"Cai_etal_2025",1
"Abatus_cavernosus",2.7,"Brose_etal_2018",1
"Abatus_curvidens",1.4,"Brose_etal_2018",1
"Abatus_nimrodi",3.7,"Brose_etal_2018",1
"Abatus_shackeltoni",1.9,"Brose_etal_2018",1
"Abax_ovalis",0.1935,"Brose_etal_2018",1
"Abax_parallelepipedus",0.4095,"Brose_etal_2018",1
"Abax_parallelus",0.5437,"Brose_etal_2018",1
"Abbottina_binhi",1.3,"Cai_etal_2025",1
"Abbottina_obtusirostris",13.5,"Cai_etal_2025-fishbase",2
"Abbottina_rivularis",49.95,"Cai_etal_2025-Killen_etal_2016",2
"Abbottina_springeri",5.2,"Cai_etal_2025",1
"Abditomys_latidens",269,"Faurby_etal_2018-Smith_2003",2
"Abeillia_abeillei",2.7,"Wilman_etal_2014",1
"Abeomelomys_sevia",52,"Faurby_etal_2018",1
"Abeomylomys_sevia",52,"Smith_2003",1
"Ablabesmyia_monilis",0.001004,"Brose_etal_2018",1
"Ablennes_hians",2949,"Cai_etal_2025-fishbase",2
"Ablepharus_bivittatus",4.382,"Feldman_etal_2016-Meiri_2018",2
"Ablepharus_budaki",2.006,"Feldman_etal_2016-Meiri_2018",2
"Ablepharus_chernovi",2.922,"Feldman_etal_2016-Meiri_2018",2
"Ablepharus_darvazi",1.51,"Feldman_etal_2016-Meiri_2018",2
"Ablepharus_deserti",3.887,"Feldman_etal_2016-Meiri_2018",2
"Ablepharus_grayanus",0.6595,"Feldman_etal_2016-Meiri_2018",2
"Ablepharus_kitaibelii",3.704,"Feldman_etal_2016-Meiri_2018",2
"Ablepharus_lindbergi",2.298,"Feldman_etal_2016-Meiri_2018",2
"Ablepharus_pannonicus",3.112,"Feldman_etal_2016-Meiri_2018",2
"Ablepharus_rueppellii",2.603,"Feldman_etal_2016-Meiri_2018",2
"Abra_alba",0.001727,"Brose_etal_2018",1
"Abralia_multihamata",10,"sealifebase",1
"Abramis_brama",2311,"AnAge-Brown_etal_2018-Cai_etal_2025-Castro_2025-DeLong_etal_2018-fishbase-Makarieva_2008",7
"Abramites_hypselonotus",35.2,"Cai_etal_2025",1
"Abrawayaomys_ruschii",63,"Faurby_etal_2018-Smith_2003",2
"Abrocoma_bennettii",255.3,"AnAge-Faurby_etal_2018-Smith_2003",3
"Abrocoma_boliviensis",158,"Faurby_etal_2018-Smith_2003",2
"Abrocoma_budini",360.7,"Faurby_etal_2018",1
"Abrocoma_cinerea",250,"Faurby_etal_2018-Quaardvark-Smith_2003",3
"Abrocoma_famatina",233.4,"Faurby_etal_2018",1
"Abrocoma_shistacea",276.3,"Faurby_etal_2018",1
"Abrocoma_uspallata",245.8,"Faurby_etal_2018",1
"Abrocoma_vaccarum",254.3,"Faurby_etal_2018",1
"Abronia_anzuetoi",44.51,"Feldman_etal_2016-Meiri_2018",2
"Abronia_aurita",34.08,"Feldman_etal_2016-Meiri_2018",2
"Abronia_bogerti",11.12,"Feldman_etal_2016-Meiri_2018",2
"Abronia_campbelli",36,"Feldman_etal_2016-Meiri_2018",2
"Abronia_chiszari",12.18,"Feldman_etal_2016-Meiri_2018",2
"Abronia_cuetzpali",25.48,"Meiri_2018",1
"Abronia_deppii",27.96,"Feldman_etal_2016-Meiri_2018",2
"Abronia_fimbriata",39.02,"Feldman_etal_2016-Meiri_2018",2
"Abronia_frosti",21.82,"Feldman_etal_2016-Meiri_2018",2
"Abronia_fuscolabialis",27.89,"Feldman_etal_2016-Meiri_2018",2
"Abronia_gaiophantasma",21.82,"Feldman_etal_2016-Meiri_2018",2
"Abronia_graminea",20.76,"Feldman_etal_2016-Meiri_2018",2
"Abronia_leurolepis",18.58,"Feldman_etal_2016-Meiri_2018",2
"Abronia_lythrochila",29.52,"Feldman_etal_2016-Meiri_2018",2
"Abronia_martindelcampoi",25.49,"Feldman_etal_2016-Meiri_2018",2
"Abronia_matudai",21.82,"Feldman_etal_2016-Meiri_2018",2
"Abronia_meledona",29.52,"Feldman_etal_2016-Meiri_2018",2
"Abronia_mitchelli",18.58,"Feldman_etal_2016-Meiri_2018",2
"Abronia_mixteca",61.3,"Feldman_etal_2016-Meiri_2018",2
"Abronia_montecristoi",12.19,"Feldman_etal_2016-Meiri_2018",2
"Abronia_oaxacae",27.08,"Feldman_etal_2016-Meiri_2018",2
"Abronia_ochoterenai",24.32,"Feldman_etal_2016-Meiri_2018",2
"Abronia_ornelasi",14.1,"Feldman_etal_2016-Meiri_2018",2
"Abronia_ramirezi",12.19,"Feldman_etal_2016-Meiri_2018",2
"Abronia_reidi",15.68,"Feldman_etal_2016-Meiri_2018",2
"Abronia_salvadorensis",12.62,"Feldman_etal_2016-Meiri_2018",2
"Abronia_smithi",21.82,"Feldman_etal_2016-Meiri_2018",2
"Abronia_taeniata",48.08,"Feldman_etal_2016-Meiri_2018",2
"Abronia_vasconcelosii",29.52,"Feldman_etal_2016-Meiri_2018",2
"Abroscopus_albogularis",4.84,"Wilman_etal_2014",1
"Abroscopus_schisticeps",4.7,"Wilman_etal_2014",1
"Abroscopus_superciliaris",6.48,"Wilman_etal_2014",1
"Abrothrix_andinus",18,"Faurby_etal_2018-Smith_2003",2
"Abrothrix_illutea",47.8,"Faurby_etal_2018",1
"Abrothrix_illuteus",47.8,"Smith_2003",1
"Abrothrix_jelskii",34.5,"Faurby_etal_2018-Smith_2003",2
"Abrothrix_lanosus",32.5,"Faurby_etal_2018-Smith_2003",2
"Abrothrix_longipilis",37.57,"Faurby_etal_2018-Smith_2003",2
"Abrothrix_olivaceus",30.18,"Faurby_etal_2018-Smith_2003-Tucker_etal_2014b",3
"Abrothrix_sanborni",24.7,"Faurby_etal_2018-Smith_2003",2
"Abudefduf_bengalensis",124.1,"Cai_etal_2025",1
"Abudefduf_saxatilis",41.01,"Brose_etal_2018-Mahe_2023",2
"Abudefduf_sexfasciatus",35.6,"DeLong_etal_2018",1
"Abudefduf_tauru",900,"Brose_etal_2018",1
"Abudefduf_taurus",227.6,"fishbase; Froese_2014",NA
"Abudefduf_vaigiensis",203,"Cai_etal_2025",1
"Aburria_aburri",1405,"Wilman_etal_2014",1
"Abyssocucumis_liouvillei",0.15,"Brose_etal_2018",1
"Abyssorchomene_nodimanus",0.24,"Brose_etal_2018",1
"Abyssorchomene_plebs",0.47,"Brose_etal_2018",1
"Abyssorchomene_rossi",1.9,"Brose_etal_2018",1
"Acabthodactylus_boskianus",7.8,"Makarieva_2008",1
"Acacia_victoriae",458.5,"Brown_etal_2018",1
"Acalyptophis_peronii",238.2,"Verberk_2020",1
"Acanalonia_latifrons",0.011,"Brose_etal_2018",1
