group,rate_type,species,mass_g,metabolic_rate_W
Prokaryotes,endogenous,Francisella tularensis,1.00E-14,9.86E-18
Prokaryotes,endogenous,Acholeplasma laidlawii,4.00E-14,1.49E-17
Prokaryotes,endogenous,Nocardia farcinica,1.00E-13,3.74E-16
Prokaryotes,endogenous,Haemophilus influenzae,1.40E-13,1.86E-17
Prokaryotes,endogenous,Vibrio sp.,1.40E-13,5.66E-17
Prokaryotes,endogenous,Methylophilus methylotrophus,1.50E-13,5.14E-17
Prokaryotes,endogenous,Paracoccus denitrificans,1.60E-13,5.99E-16
Prokaryotes,endogenous,Pseudomonas oleovorans,1.60E-13,2.38E-16
Prokaryotes,endogenous,Achromobacter ruhlandii,2.00E-13,1.35E-15
Prokaryotes,endogenous,Arthrobacter sp.,2.00E-13,1.00E-16
Prokaryotes,endogenous,Enterococcus faecalis,2.00E-13,2.71E-17
Prokaryotes,endogenous,Lactococcus lactis,2.00E-13,5.41E-17
Prokaryotes,endogenous,Mycobacterium tuberculosis,2.00E-13,1.17E-16
Prokaryotes,endogenous,Neisseria elongata,2.00E-13,7.49E-16
Prokaryotes,endogenous,Neisseria flava,2.00E-13,1.08E-15
Prokaryotes,endogenous,Neisseria gonorrhoeae,2.00E-13,3.20E-17
Prokaryotes,endogenous,Neisseria mucosa,2.00E-13,1.35E-15
Prokaryotes,endogenous,Neisseria sicca,2.00E-13,1.17E-15
Prokaryotes,endogenous,Streptococcus pyogenes,2.00E-13,2.98E-16
Prokaryotes,endogenous,Nitrobacter winogradskyi,2.40E-13,1.08E-15
Prokaryotes,endogenous,Thiobacillus ferrooxidans,2.50E-13,8.34E-17
Prokaryotes,endogenous,Thiobacillus thiooxidans,2.50E-13,1.98E-16
Prokaryotes,endogenous,Xanthomonas axonopodis,2.50E-13,4.17E-15
Prokaryotes,endogenous,Staphylococcus aureus,2.70E-13,1.15E-15
Prokaryotes,endogenous,Acidovorax facilis,3.00E-13,9.47E-16
Prokaryotes,endogenous,Bdellovibrio bacteriovorus,3.00E-13,3.38E-15
Prokaryotes,endogenous,Brucella melitensis,3.00E-13,6.49E-16
Prokaryotes,endogenous,Enterobacter aerogenes,3.00E-13,1.35E-15
Prokaryotes,endogenous,Flavobacterium capsulatum,3.00E-13,8.53E-15
Prokaryotes,endogenous,Legionella pneumophila,3.00E-13,1.60E-15
Prokaryotes,endogenous,Streptococcus agalactiae,3.00E-13,1.36E-16
Prokaryotes,endogenous,Enterococcus cecorum,4.00E-13,6.86E-16
Prokaryotes,endogenous,Haemophilus parainfluenzae,4.00E-13,3.73E-16
Prokaryotes,endogenous,Halomonas halodenitrificans,4.00E-13,1.79E-14
Prokaryotes,endogenous,Klebsiella pneumoniae,4.00E-13,5.95E-16
Prokaryotes,endogenous,Mycobacterium phlei,4.00E-13,1.49E-15
Prokaryotes,endogenous,Proteus morganii,4.00E-13,9.02E-16
Prokaryotes,endogenous,Proteus vulgaris,4.00E-13,5.33E-16
