group,species,body_mass_g,rmax_per_day
Prokaryotes,Aerobacter aerogenes,4.00E-13,26.03
Prokaryotes,Alteromonas haloplanktis,1.00E-12,5.56
Prokaryotes,Azospirillum brasilense,1.00E-12,6.18
Prokaryotes,Azospirillum lipoferum,4.00E-12,3.85
Prokaryotes,Azotobacter chroococcum,1.20E-11,13.88
Prokaryotes,Bacillus cereus,3.70E-12,25.02
Prokaryotes,Bacillus licheniformis,8.00E-13,4.09
Prokaryotes,Bacillus macerans,1.00E-12,2.35
Prokaryotes,Bacillus subtilis,1.10E-12,15.61
Prokaryotes,Bdellovibrio bacteriovorus,5.00E-13,5.36
Prokaryotes,Corynebacterium glutamicum,6.19E-13,6.25
Prokaryotes,Desulfovibrio propionicus,1.80E-12,1.71
Prokaryotes,Escherichia coli,1.20E-12,36.02
Prokaryotes,Lactobacillus bulgaricus,1.30E-12,12.17
Prokaryotes,Lactobacillus casei,1.90E-12,11.85
Prokaryotes,Lactobacillus plantarum,3.80E-12,4.69
Prokaryotes,Lactococcus lactis,2.00E-13,10.72
Prokaryotes,Leptospira biflexa,4.07E-13,1.29
Prokaryotes,Mycoplasma capricolum,6.00E-14,2.92
Prokaryotes,Mycoplasma gallisepticum,2.60E-13,4.43
Prokaryotes,Mycoplasma pneumoniae,4.00E-14,0.74
Prokaryotes,Mycoplasma pulmonis UAB CTIP,6.54E-14,2.22
Prokaryotes,Neisseria gonorrhoeae,2.00E-13,3.88
Prokaryotes,Neisseria meningitidis,3.00E-13,4.43
Prokaryotes,Pseudomonas aeruginosa,6.00E-13,8.86
Prokaryotes,Pseudomonas fluorescens,1.20E-12,13.15
Prokaryotes,Pseudomonas natriegens,1.00E-12,27.13
Prokaryotes,Pseudomonas perfectomarinus,1.70E-12,3.75
Prokaryotes,Pseudomonas putida,1.90E-12,10.93
Prokaryotes,Rhizobium leguminosarum,6.00E-13,2.07
Prokaryotes,Staphylococcus epidermidis,5.00E-13,5.96
Prokaryotes,Streptococcus agalactiae,3.00E-13,2.46
Prokaryotes,Streptococcus faecalis,1.00E-12,11.81
Prokaryotes,Streptococcus pneumoniae,2.50E-13,8.86
Prokaryotes,Streptococcus pyogenes,1.80E-13,16.68
Prokaryotes,Streptococcus thermophilus,2.60E-13,7.18
Prokaryotes,Vibrio anguillarum,2.60E-12,9.10
Protists,Acanthamoeba polyphaga,1.31E-09,4.86
Protists,Actinomonas mirabilis,7.50E-11,5.76
Protists,Amoeba algonquinensis,8.60E-09,0.57
Protists,Amphidinium sp.,2.60E-09,0.85
Protists,Arcella vulgaris,2.72E-07,0.47
Protists,Aspidisca angulata,3.80E-09,3.70
Protists,Aspidisca sp,7.10E-09,0.98
Protists,Balanion comatum,2.30E-09,4.00
Protists,Balanion planctonicum,2.26E-09,2.58
Protists,Bodo designis,5.40E-11,3.84
Protists,Bodo saliens,9.00E-11,0.80
Protists,Bodo saltans,7.40E-11,4.80
Protists,Bursaridium difficile,1.52E-07,0.85
Protists,Caecitellus parvulus,4.80E-11,1.90
Protists,Cafeteria roenbergensis,1.48E-10,1.27
Protists,Chilodonella uncinata,6.17E-09,1.92
Protists,Clydonella rosenfieldi,4.66E-10,1.34
Protists,Cochliopodium minus,3.25E-09,1.60
Protists,Colpidium campylum,2.15E-08,1.33
Protists,Condylostoma arenarium,1.76E-06,0.39
Protists,Condylostoma patulum,5.48E-07,0.37
Protists,Cyclidium glaucoma,2.44E-09,2.37
Protists,Cyclidium sp.,8.87E-10,3.84
Protists,Dactylamoeba sp.,2.59E-09,0.49
Protists,Diophrys scutum,1.49E-07,0.93
Protists,Entosiphon sulcatum,1.08E-09,3.12
Protists,Euplotes antarcticus,2.60E-07,1.03
Protists,Euplotes balteatus,1.20E-08,3.63
Protists,Euplotes crassus,1.39E-07,1.96
Protists,Euplotes eurystomus,2.60E-07,0.45
Protists,Euplotes focardii,2.60E-07,0.93
Protists,Euplotes harpa,1.96E-07,0.46
Protists,Euplotes minuta,8.30E-08,2.31
Protists,Euplotes sp.,2.60E-07,0.51
Protists,Euplotes trisulcatus,9.97E-08,0.53
Protists,Euplotes vannus,1.90E-07,1.74
Protists,Euplotes woodruffii,2.60E-07,0.67
Protists,Fabrea salina,1.02E-06,0.71
Protists,Favella azorica,1.02E-07,2.40
Protists,Favella ehrenbergii,1.02E-07,0.79
Protists,Favella sp.,1.02E-07,1.55
Protists,Favella taraikaensis,1.02E-07,2.60
Protists,Glaseria mira,4.17E-10,3.65
Protists,Gymnodinium sp.,1.68E-10,1.64
Protists,Gyrodinium dominans,2.51E-08,1.67
Protists,Gyrodinium fusiforme,2.40E-08,0.84
Protists,Halteria sp.,1.06E-08,1.37
Protists,Holosticha sp,1.17E-07,0.85
Protists,Hymenostome ciliate,1.90E-08,4.25
Protists,Jakoba libera,3.50E-11,0.62
Protists,Katodinium glaucum,2.40E-08,0.28
Protists,Keronopsis rubra,7.11E-08,0.51
Protists,Lacrymaria marina,5.70E-09,0.65
Protists,Litonotus lamella,5.70E-09,1.41
Protists,Lohmanniella spiralis,1.50E-07,2.09
Protists,Loxocephalus plagius,3.31E-08,1.19
Protists,Mayorella sp.,5.58E-09,1.35
Protists,Metachaos sp.,1.15E-08,1.23
Protists,Monas sp.,3.40E-11,3.66
Protists,Monosiga ovata,6.20E-11,1.75
Protists,Monosiga sp,2.00E-11,2.88
Protists,Ochromonas sp.,1.56E-10,4.32
Protists,Oxyrrhis marina,1.40E-09,1.32
Protists,Paraflabellula reniformis,4.51E-10,1.40
Protists,Paramecium aurelia,2.33E-07,0.96
Protists,Paramecium bursaria,2.18E-07,0.82
Protists,Paraphysomonas bandaiensis,7.00E-11,1.42
Protists,Paraphysomonas imperforata,2.60E-10,6.00
Protists,Paraphysomonas imperforata (arctic)*,2.74E-10,5.20
Protists,Paraphysomonas imperforata (newfoundland)*,2.04E-10,4.15
Protists,Paraphysomonas sp.,1.80E-10,6.49
Protists,Paraphysomonas vestita,2.90E-10,5.04
Protists,Paratetrahymena wassi,2.60E-08,0.86
Protists,Parauronema acutum,3.64E-09,3.09
Protists,Pelagostrombidium fallax,5.00E-08,0.86
Protists,Pfiesteria piscicida,2.50E-10,0.61
Protists,Platyamoeba australis,2.41E-10,1.94
Protists,Platyamoeba sp,3.53E-11,1.90
Protists,Pseudobalanion planctonicum,1.80E-09,2.13
Protists,Pseudobodo tremulans,9.00E-11,3.12
Protists,Pteridomonas danica,4.80E-11,3.02
Protists,Rhizamoeba sp.,1.80E-10,0.59
Protists,Rimostrombidium caudatum,4.20E-08,0.93
Protists,Rimostrombidium veniliae,4.20E-08,1.61
Protists,Saccamoeba limax,4.79E-09,2.20
Protists,Scuticociliate,3.70E-09,8.26
Protists,Spirostomum teres,2.15E-07,0.27
Protists,Spumella sp.,6.30E-11,4.80
Protists,Stentor polymorphus,1.85E-06,0.40
Protists,Stephanoeca diplocostata,7.50E-11,1.27
Protists,Stereomyxa ramosa,8.57E-10,0.59
Protists,Strobilidium gyrans,4.20E-08,0.87
Protists,Strobilidium lacustris,1.13E-07,1.56
Protists,Strobilidium neptuni,1.10E-07,2.09
Protists,Strobilidium veniliae,1.96E-08,1.01
Protists,Strombidinopsis acuminatum,1.40E-07,1.39
Protists,Strombidinopsis sp.,1.40E-07,0.95
Protists,Strombidium capitatum,6.41E-08,1.16
Protists,Strombidium reticulatum,4.00E-08,1.69
Protists,Strombidium sp.,2.50E-08,0.81
Protists,Strombidium sulcatum,7.01E-09,2.40
Protists,Tetrahymena pyriformis,8.59E-09,2.05
Protists,Tetryhymena pyriformis,1.93E-08,3.84
Protists,UnID chrysomonad,1.80E-10,2.94
Protists,UNID kinetoplastid,9.00E-11,0.67
Protists,Unidentified amoeba,7.20E-11,3.39
Protists,Uronema elegans,7.21E-09,2.66
Protists,Uronema marina,4.50E-10,6.80
Protists,Uronema marinum,3.59E-09,7.08
Protists,Uronema nigricans,3.60E-09,3.82
Protists,Uronema sp.,3.24E-09,3.80
Protists,Urotricha castalia,9.75E-09,1.28
Protists,Urotricha farcta,6.82E-09,3.59
Protists,Urotricha furcata,9.05E-09,1.69
Protists,Vahlkampfia baltica,3.78E-10,1.08
Protists,Vahlkampfia damariscottae,8.75E-11,1.88
Protists,Vanella sp.,7.90E-09,1.50
Protists,Vannella caledonica,4.02E-10,1.61
Protists,Vannella sp.,7.47E-11,1.37
Protists,Vexillifera bacillipedes,3.15E-10,2.89
