Data set,Source,Predation or Parasitism,Dim,Field?,Habitat,Fresh or marine (fish only),Predator cellularity,Vert/invert,Major grouping 1,Major grouping 2,Predator scientific name,Predator type,Prey cellularity,Vert/invert,Major grouping 1,Major grouping 2,Prey,Prey scientific name,Prey type,Data type,Prey replaced?,Hours starved,Temp (C ),Interference,Pred per arena,2D Arena size (cm2 for arena bottom),3D arena size (cm3 of arena volume),Predator mass (mg),Predator mass source code,Predator mass regression code,Prey mass (mg),Prey mass source code,Prey mass regression code,Units of a,Data set,Mean R2 of fits,Fitted a (median of BS samples),CI a low,CI a hi,Fittted h (day),CI h low,CI h hi,Number of bootstraps,Notes 1,Notes 2
1,Soluk 1993 ECOLOGY,Pred,2.50,,Aquatic,,Metazoan,Invertebrate,Insect,Perlidae,Agnetina capitata,Larva,Metazoan,Invertebrate,Insect,Baetidae,Mayfly,Baetis tricaudatus,Larva,Mean,N,24,,,1,1900.00,,6.88E+01,Original length,Order,4.96E+00,Alternate species length,Order,m^2.5 per pred per day,1,0.33,3.20E-02,1.63E-02,5.97E-02,2.05E-02,1.07E-02,3.11E-02,200,,
2,Soluk 1993 ECOLOGY,Pred,2.50,,Aquatic,,Metazoan,Invertebrate,Insect,Perlidae,Agnetina capitata,Larva,Metazoan,Invertebrate,Insect,Ephemerellidae,Mayfly,Ephemerella subvaria,Larva,Mean,N,24,,,1,1900.00,,6.88E+01,Original length,Order,6.66E+00,Alternate species length,Order,m^2.5 per pred per day,2,0.26,8.74E-03,3.67E-03,3.61E-02,5.84E-02,5.45E-03,1.22E-01,200,,
3,Hassanpour et al 2010 INS SCI,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Neuroptera,Chrysoperla carnea,1st instar,Metazoan,Invertebrate,Insect,Lepidoptera,Cotton bollworm,Helicoverpa armigera,Egg,Raw data,N,12,26.0,,1,19.63,,4.61E-03,Alternate species length,Family,2.05E-03,Alternate species length,Family,m^2 per pred per day,3,0.96,1.01E-02,8.91E-03,1.13E-02,2.35E-02,1.87E-02,2.72E-02,200,,
4,Hassanpour et al 2010 INS SCI,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Neuroptera,Chrysoperla carnea,2nd instar,Metazoan,Invertebrate,Insect,Lepidoptera,Cotton bollworm,Helicoverpa armigera,Egg,Raw data,N,12,26.0,,1,19.63,,1.70E+01,% adult mass,,2.05E-03,Alternate species length,Family,m^2 per pred per day,4,0.94,9.22E-03,7.49E-03,1.10E-02,5.59E-03,3.96E-03,6.72E-03,200,,
5,Hassanpour et al 2010 INS SCI,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Neuroptera,Chrysoperla carnea,1st instar,Metazoan,Invertebrate,Insect,Lepidoptera,Cotton bollworm,Helicoverpa armigera,1st instar,Raw data,N,12,26.0, ,1,19.63,,4.61E-03,Alternate species length,Family,9.42E-03,% adult mass,,m^2 per pred per day,5,0.86,8.13E-03,5.81E-03,1.10E-02,2.41E-02,1.75E-02,3.15E-02,200,,
6,Hassanpour et al 2010 INS SCI,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Neuroptera,Chrysoperla carnea,2nd instar,Metazoan,Invertebrate,Insect,Lepidoptera,Cotton bollworm,Helicoverpa armigera,1st instar,Raw data,N,12,26.0,,1,19.63,,1.70E+01,% adult mass,,9.42E-03,% adult mass,,m^2 per pred per day,6,0.95,1.21E-02,1.03E-02,1.43E-02,7.52E-03,6.63E-03,8.14E-03,200,,
7,Parajulee 2006 ENVIRON ENTOMOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Neuroptera,Chrysopa oculata,2nd and 3rd instar,Metazoan,Invertebrate,Insect,Lepidoptera,Corn earworm/Cotton bollworm,Helicoverpa zea,Egg,Mean,N,,29.0,,1,78.54,,2.05E+01,% adult mass,,2.68E-03,Alternate species length,Family,m^2 per pred per day,7,0.83,2.35E-02,1.84E-02,2.96E-02,9.76E-03,8.09E-03,1.31E-02,200,,
8,Parajulee 2006 ENVIRON ENTOMOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Geocoris punctipes,Adult,Metazoan,Invertebrate,Insect,Lepidoptera,Corn earworm/Cotton bollworm,Helicoverpa zea,Egg,Mean,N,,29.0,,1,78.54,,1.69E+00,Alternate species length,Order,2.68E-03,Alternate species length,Family,m^2 per pred per day,8,0.70,1.80E-02,1.19E-02,2.49E-02,9.80E-03,4.93E-03,1.52E-02,200,,
9,Enkegaard et al 2001 ENTO EXP APPL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Macrolophus caliginosus,Adult female,Metazoan,Invertebrate,Insect,Hemiptera,Greenhouse whitefly,Trialeurodes vaporariorum,1st instar,Mean,N,23,22.0,,1,58.15,,2.24E+00,Alternate species length,Family,4.12E-04,Alternate species length,Order,m^2 per pred per day,9,0.60,5.31E-03,4.25E-03,7.28E-03,7.33E-04,4.85E-10,5.64E-03,200,,
10,Sepulveda and Carrillo 2008 REV BIO TROP,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Chileseius camposi,Adult,Metazoan,Invertebrate,Arachnid,Mite,European red mite,Panonychus ulmi,Adult female,Mean,N,24,20.0,,1,3.14,,6.13E-02,Alternate order mass,,2.53E-02,Alternate species length,Class,m^2 per pred per day,10,0.33,2.24E-04,1.38E-04,3.42E-04,1.14E-01,6.23E-02,1.67E-01,200,,
