Name,Lake,DepthZone_m,Basin,AverageIndividualWeight_g,SE_weight,MedianIndividualWeight_g,MinimumIndividualWeight_g,MaximumIndividualWeight_g,SampleSize_Nsamples
Ablabesmyia annulata,All,All,All,0.00131465,0.00012616,0.00103611,0.00005,0.005,64
Ablabesmyia sp.,All,All,All,0.00090128,0.0001367,0.00065833,0.00001,0.0055,48
Amnicola limosa,All,All,All,0.00680649,0.00052133,0.0063,0.0007,0.017,49
Arcteonais lomondi,All,All,All,0.00027362,0.0000161,0.00022,0.00004,0.00153077,151
Aulodrilus americanus,All,All,All,0.00044111,0.0000524,0.0002718,0.00005,0.00225,59
Aulodrilus limnobius,All,All,All,0.00021637,0.0000175,0.00014256,0.0000167,0.00120189,135
Aulodrilus pigueti,All,All,All,0.00020025,0.0000216,0.00014861,0.000002,0.00210611,137
Aulodrilus pluriseta,All,All,All,0.00039247,0.0000265,0.0002625,0.00006,0.00295,240
Branchiura sowerbyi,All,All,All,0.01507402,0.00119815,0.01482857,0.00004,0.0604,113
Chaetogaster diaphanus,All,All,All,0.00017745,0.0000146,0.000125,0.00000029,0.00123333,119
Cincinnatia cincinnatiensis,All,All,All,0.01572157,0.00148685,0.013925,0.0056,0.06065,48
Cladotanytarsus sp.,All,All,All,0.00011842,0.0000251,0.00009,0.00000333,0.00048421,25
Coelotanypus sp.,All,All,All,0.00138407,0.000088,0.00118,0.00013333,0.00506,104
Cricotopus sp.,All,All,All,0.0003741,0.0000811,0.00021111,0.00000334,0.002,31
Cryptochironomus sp.,All,All,All,0.00211819,0.00020563,0.00135,0.000005,0.0116,136
Dero sp.,All,All,All,0.00016061,0.0000149,0.00015,0.0000928,0.00027,15
Dicrotendipes sp.,All,All,All,0.00047846,0.0000984,0.00024889,0.00000167,0.00347143,48
Diporeia sp.,All,All,All,0.00186471,0.0000447,0.00163771,0.00001,0.0108,752
Dreissena polymorpha,All,All,All,0.14989233,0.02812818,0.04686,0.00001,3.38660002,167
Gammaridae,All,All,All,0.00124779,0.00023573,0.0007,0.000005,0.0069,41
Gammarus fasciatus,All,All,All,0.00260573,0.00044511,0.00176154,0.00001,0.02445,65
Gammarus pseudolimnaeus,All,All,All,0.00220185,0.00023453,0.0017,0.0001,0.00911539,49
Gammarus sp.,All,All,All,0.0012663,0.00056058,0.00015,0.00001,0.0082,18
Girardia tigrina,All,All,All,0.00177242,0.00021321,0.00131944,0.00001,0.01933333,96
Gyraulus parvus,All,All,All,0.00156042,0.00046286,0.000875,0.00013333,0.0055,12
Harnischia sp.,All,All,All,0.00096897,0.00011179,0.0007,0.0000143,0.00298095,45
Helobdella elongata,All,All,All,0.00306421,0.00040429,0.00234167,0.000005,0.02,74
Helobdella stagnalis,All,All,All,0.00341339,0.000233,0.0024,0.00005,0.0197,173
Heterotrissocladius sp.,All,All,All,0.0006589,0.0000835,0.00046813,0.00000333,0.00238333,56
Heterotrissocladius subpilosus group,All,All,All,0.00129549,0.0000189,0.00133333,0.000005,0.0043,673
Hexagenia sp.,All,All,All,0.05251537,0.00406068,0.04939744,0.0000667,0.1761,102
Hyalella sp.,All,All,All,0.00060859,0.00011878,0.00050987,0.000025,0.00315,26
Hydra sp.,All,All,All,0.00012804,0.0000119,0.0001,0.000002,0.001,148
Hydrobaenus sp.,All,All,All,0.00022229,0.0000318,0.00020588,0.000001,0.00055667,20
Hydrolimax grisea,All,All,All,0.0003962,0.0000199,0.0003,0.00000143,0.0039,414
Ilyodrilus templetoni,All,All,All,0.00044948,0.0000258,0.00038462,0.00005,0.0029,227
Isochaetides freyi,All,All,All,0.00143165,0.00010896,0.00129028,0.0000812,0.00448333,80
Limnodrilus cervix,All,All,All,0.00123782,0.0000882,0.00107519,0.0000025,0.004,82
Limnodrilus claparedeianus,All,All,All,0.00174567,0.00012398,0.00156025,0.00000111,0.00692656,115
Limnodrilus maumeensis,All,All,All,0.0011697,0.00010264,0.00110824,0.0002,0.00254286,47
Limnodrilus profundicola,All,All,All,0.00166044,0.00010198,0.0013,0.00006,0.00635333,140
Limnodrilus udekemianus,All,All,All,0.00147029,0.0000969,0.00112857,0.00012075,0.0055,115
Lirceus sp.,All,All,All,0.00587626,0.0008278,0.0058,0.000005,0.0173,27
Manayunkia speciosa,All,All,All,0.00013252,0.0000126,0.00010946,0.00001,0.0005,51
Micropsectra sp.,All,All,All,0.00052723,0.0000218,0.0004,0.000002,0.00294,455
Microtendipes sp.,All,All,All,0.00032223,0.0000492,0.00021777,0.00005,0.00102885,27
Monodiamesa sp.,All,All,All,0.00064407,0.00010079,0.00048159,0.00005,0.00235,30
Mysis diluviana,All,All,All,0.01173805,0.00053893,0.00685,0.00001,0.0751,533
Naidid fragment,All,All,All,0.00015812,0.00000805,0.000125,0.00000029,0.0012,251
Nais bretscheri,All,All,All,0.00011203,0.00000822,0.000096,0.0000025,0.00053248,89
Nais communis,All,All,All,0.00012039,0.00000822,0.00010256,0.00000053,0.0003,55
Nais communis/variablis,All,All,All,0.00013034,0.00000852,0.00011974,0.00000071,0.00036,70
Nais simplex,All,All,All,0.00014023,0.0000132,0.00010592,0.0000371,0.00083333,76
Nais variabilis,All,All,All,0.00014582,0.00000949,0.00012654,0.0000408,0.0006,101
Nemertea,All,All,All,0.00295406,0.00029207,0.00117353,0.000005,0.0731,483
Oecetis sp.,All,All,All,0.00189994,0.0001999,0.001225,0.0000025,0.008,88
Oligochaeta immature,All,All,All,0.00024995,0.00000601,0.00021719,0.00000067,0.00294746,1385
Orthocladius sp.,All,All,All,0.00048934,0.0000528,0.0004875,0.000005,0.00204167,62
Paracladopelma sp.,All,All,All,0.00078328,0.0000896,0.00066823,0.00000333,0.0024,47
Paracladopelma winnelli,All,All,All,0.00109626,0.0000308,0.0011,0.00001,0.0028,345
Parakiefferiella sp.,All,All,All,0.00040045,0.0000919,0.000205,0.00001,0.0013,20
Paralauterborniella sp.,All,All,All,0.00021844,0.0000366,0.0001875,0.00001,0.00055,19
Paranais frici,All,All,All,0.00010673,0.00000685,0.0001,0.00004,0.00018,25
Paratanytarsus sp.,All,All,All,0.00048373,0.00011193,0.00019,0.0000667,0.0019,22
Paratendipes albimanus,All,All,All,0.00041672,0.0000748,0.00039989,0.000005,0.00106096,18
Paratendipes sp.,All,All,All,0.00058209,0.0000678,0.00053462,0.00002,0.0017,33
Paratrichocladius spp.,All,All,All,0.00062211,0.0000857,0.00053214,0.00001,0.00170909,32
Phaenopsectra obediens group,All,All,All,0.00058731,0.0000685,0.00045083,0.00000333,0.00156667,38
Phallodrillus hallae,All,All,All,0.00027841,0.0000552,0.0002,0.0000333,0.00113333,23
Physa sp.,All,All,All,0.0057144,0.00082214,0.0032,0.0001,0.0488,76
Piguetiella michiganesis,All,All,All,0.00092816,0.0000925,0.00080526,0.00001,0.00249659,49
Polypedilum halterale group,All,All,All,0.00049484,0.0000794,0.0003,0.000002,0.00276316,49
Polypedilum scalaenum group,All,All,All,0.00028119,0.0000441,0.0002,0.000001,0.0010125,29
Polypedilum sp.,All,All,All,0.00064609,0.0000689,0.0005125,0.000005,0.00268333,68
Polypedilum tuberculum,All,All,All,0.00076211,0.0000656,0.0007,0.00001,0.0016,44
Potamopyrgus antipodarum,All,All,All,0.00737965,0.00132079,0.0071,0.0007,0.0171,15
Potamothrix bedoti/bavaricus,All,All,All,0.00025406,0.0000324,0.000234,0.000025,0.00078261,27
Potamothrix moldaviensis,All,All,All,0.00146919,0.0000524,0.00124,0.00005,0.0109,427
Potamothrix vejdovskyi,All,All,All,0.00043318,0.0000129,0.00032175,0.000008,0.0035,804
Potthastia sp.,All,All,All,0.00039804,0.0000798,0.000375,0.000005,0.0014,17
Pristina spp.,All,All,All,0.00013209,0.0000352,0.0000943,0.0000258,0.00043385,11
Probythinella lacustris,All,All,All,0.00616867,0.00076665,0.00535,0.00001,0.0204,27
Procladius sp.,All,All,All,0.00128533,0.0000403,0.00110292,0.0000025,0.005,506
Protanypus sp.,All,All,All,0.00300027,0.00032835,0.0025,0.000005,0.0099,65
Psectrocladius sp.,All,All,All,0.00074572,0.0000948,0.00073515,0.00005,0.00168,24
Quistadrilus multisetosus,All,All,All,0.00043936,0.0000219,0.00035714,0.00000029,0.00325601,311
Rhyacodrilus montana,All,All,All,0.00233109,0.00018013,0.00224519,0.000225,0.00702727,66
Rhyacodrilus sodalis,All,All,All,0.00190858,0.00020302,0.00157778,0.0001,0.008125,52
Rhyacodrilus sp.,All,All,All,0.00236303,0.00045747,0.00194,0.0000833,0.0075,20
Sergentia sp.,All,All,All,0.00048628,0.0000638,0.00036505,0.00000334,0.00224333,44
Slavina appendiculata,All,All,All,0.00016672,0.0000104,0.00013828,0.000002,0.00115149,177
Somatogyrus subglobosus,All,All,All,0.00723796,0.00232529,0.00146,0.00001,0.04825,32
Specaria josinae,All,All,All,0.00011338,0.00000629,0.0001,0.0000513,0.0002277,44
Spirosperma nikolskyi,All,All,All,0.00149587,0.0000995,0.00114615,0.0000025,0.0054,133
Stephensoniania trivandrana,All,All,All,0.00013886,0.0000175,0.00012755,0.0000627,0.00023276,12
Stictochironomus sp.,All,All,All,0.0009303,0.00017745,0.00043576,0.00000333,0.00633333,70
Stylaria lacustris,All,All,All,0.00020812,0.0000134,0.00016667,0.0000167,0.00114608,156
Tanytarsus sp.,All,All,All,0.00048583,0.0000281,0.0003,0.000001,0.00344286,382
Tasserkidrilus americanus,All,All,All,0.00114724,0.00015962,0.00081,0.00011,0.0034,33
Tasserkidrilus superiorensis,All,All,All,0.00024598,0.0000264,0.00017109,0.0000559,0.00117636,58
Tubifex tubifex,All,All,All,0.00148294,0.0000548,0.00123,0.0000812,0.00685,374
Turbellaria,All,All,All,0.00055592,0.00014311,0.0002,0.000005,0.0085,77
Uncinais uncinata,All,All,All,0.00023356,0.0000202,0.0001875,0.00001,0.000725,67
Unid. Orthocladiinae,All,All,All,0.00025153,0.0000792,0.00015333,0.00000083,0.00117778,16
Valvata lewisi,All,All,All,0.00563925,0.00126317,0.00288,0.0001,0.0312,31
Valvata perdepressa,All,All,All,0.00599417,0.00163648,0.0026,0.0001,0.035,31
Valvata sincera,All,All,All,0.00855744,0.00207296,0.00365,0.0002,0.0352,26
Valvata sincera/piscinalis,All,All,All,0.01820423,0.0016235,0.0179,0.0000667,0.053,63
Valvata tricarinata,All,All,All,0.00904449,0.00083029,0.0076,0.00041667,0.0341,87
Vejdovskyella intermedia,All,All,All,0.0001184,0.00000471,0.0001,0.00000028,0.0006,346
Caecidotea sp.,Erie,<=70,All,0.00259671,0.00078121,0.00109206,0.000002,0.0182,32
Chironomus sp.,Erie,<=70,All,0.00923422,0.00075109,0.00314286,0.00001,0.064,263
Dreissena rostriformis bugensis,Erie,<=70,Central,0.15628067,0.02884615,0.05345455,0.0001,1.14135,77
Dreissena rostriformis bugensis,Erie,<=70,Eastern,0.97715614,0.04910856,0.92056854,0.00005,3.93137255,191
Dreissena rostriformis bugensis,Erie,<=70,Western,0.06880954,0.00751886,0.0445068,0.0002,0.43666667,96
Echinogammarus sp.,Erie,<=70,All,0.00067156,0.00012794,0.00041429,0.000005,0.00155833,22
immature tubificid with hairs,Erie,<=70,All,0.00039605,0.0000226,0.00029431,0.00000029,0.00575592,412
immature tubificid without hairs,Erie,<=70,All,0.00071511,0.0000216,0.000605,0.0000006,0.0042502,467
Lumbriculidae,Erie,<=70,All,0.00282424,0.00023901,0.00269783,0.0002,0.00719909,41
Musculium/Sphaerium,Erie,<=70,All,0.00957377,0.00194407,0.0021,0.00000333,0.0646,55
Oligochaeta Fragments,Erie,<=70,All,0.00032071,0.0000127,0.00025105,0.00000125,0.0029,468
Ophidonais serpentina,Erie,<=70,All,0.00069981,0.0000714,0.00052334,0.00000043,0.00252547,56
Pisidium sp.,Erie,<=70,All,0.00255836,0.00016794,0.00210496,0.0001,0.02784722,215
Sphaeriidae,Erie,<=70,All,0.01409291,0.00510207,0.00232955,0.00016667,0.094,28
Spirosperma ferox,Erie,<=70,All,0.00574852,0.00037647,0.00522466,0.0001,0.02175472,136
Stylodrilus heringianus,Erie,<=70,All,0.00404609,0.00025189,0.00367394,0.00140064,0.00735593,38
Tubificid fragment,Erie,<=70,All,0.00038694,0.0000168,0.00028997,0.00000035,0.00456667,442
Unid. Chironomidae,Erie,<=70,All,0.00702182,0.00091654,0.00375,0.00001,0.0446,89
Caecidotea sp.,Huron,All,All,0.00068331,0.0000691,0.00056667,0.000005,0.00171771,31
Chironomus sp.,Huron,All,All,0.00765616,0.00075618,0.00724838,0.0000356,0.02427143,72
Dreissena rostriformis bugensis,Huron,<=70,All,0.42488956,0.03383184,0.24345239,0.00001,3.40177989,254
Dreissena rostriformis bugensis,Huron,>70,All,0.17741118,0.01834087,0.12935926,0.00001,1.07850003,111
Echinogammarus sp.,Huron,All,All,0.00209979,0.00023131,0.00214444,0.0001,0.00417222,22
Enchytraeidae,Huron,<=70,All,0.00034727,0.0000316,0.00027308,0.00000111,0.0028,138
Enchytraeidae,Huron,>70,All,0.00045614,0.0000365,0.00035714,0.00001,0.00161296,89
immature tubificid with hairs,Huron,<=70,All,0.00039827,0.0000366,0.00025,0.000008,0.0042,194
immature tubificid with hairs,Huron,>70,All,0.0008615,0.00015917,0.00072,0.00013333,0.00254,19
immature tubificid without hairs,Huron,<=70,All,0.0006813,0.0000383,0.00052032,0.0000167,0.0067,268
immature tubificid without hairs,Huron,>70,All,0.0010982,0.00029306,0.00051,0.0000025,0.00556667,22
Lumbriculidae,Huron,All,All,0.00219946,0.0000543,0.00203529,0.000005,0.00858333,441
Musculium/Sphaerium,Huron,All,All,0.00083723,0.00030555,0.00034167,0.00001,0.01335,44
