Name,Group
Ablabesmyia annulata,Chironomidae
Ablabesmyia sp.,Chironomidae
Amnicola limosa,Gastropoda
Arcteonais lomondi,Oligochaeta
Aulodrilus americanus,Oligochaeta
Aulodrilus limnobius,Oligochaeta
Aulodrilus pigueti,Oligochaeta
Aulodrilus pluriseta,Oligochaeta
Somatogyrus subglobosus,Gastropoda
Branchiura sowerbyi,Oligochaeta
Caecidotea sp.,Isopoda
Chaetogaster diaphanus,Oligochaeta
Chaetogaster diastrophus,Oligochaeta
Chironomus sp.,Chironomidae
Cincinnatia cincinnatiensis,Gastropoda
Cladotanytarsus sp.,Chironomidae
Coelotanypus sp.,Chironomidae
Cricotopus sp.,Chironomidae
Cryptochironomus sp.,Chironomidae
Dero sp.,Oligochaeta
Dicrotendipes sp.,Chironomidae
Diporeia sp.,Amphipoda
Dreissena polymorpha,Dreissena
Dreissena rostriformis bugensis,Dreissena
Echinogammarus sp.,Amphipoda
Enchytraeid fragment,Oligochaeta
Enchytraeidae,Oligochaeta
Gammaridae,Amphipoda
Gammarus fasciatus,Amphipoda
Gammarus pseudolimnaeus,Amphipoda
Gammarus sp.,Amphipoda
Girardia tigrina,Platyhelminthes
Gyraulus parvus,Gastropoda
Harnischia sp.,Chironomidae
Helobdella elongata,Hirudinea
Helobdella sp.,Hirudinea
Helobdella stagnalis,Hirudinea
Heterotrissocladius sp.,Chironomidae
Heterotrissocladius marcidus group,Chironomidae
Heterotrissocladius subpilosus group,Chironomidae
Hexagenia sp.,OtherInsecta
Hyalella sp.,Amphipoda
Hydra sp.,Hydrozoa
Hydrobaenus sp.,Chironomidae
Hydrolimax grisea,Platyhelminthes
Ilyodrilus templetoni,Oligochaeta
Immature lumbriculid,Oligochaeta
immature tubificid with hairs,Oligochaeta
immature tubificid without hairs,Oligochaeta
Isochaetides freyi,Oligochaeta
Isopoda,Isopoda
Limnodrilus cervix,Oligochaeta
Limnodrilus claparedeianus,Oligochaeta
Limnodrilus hoffmeisteri,Oligochaeta
Limnodrilus maumeensis,Oligochaeta
Limnodrilus profundicola,Oligochaeta
Limnodrilus udekemianus,Oligochaeta
Lirceus sp.,Isopoda
Lumbriculid fragment,Oligochaeta
Manayunkia speciosa,Polychaeta
Micropsectra sp.,Chironomidae
Microtendipes sp.,Chironomidae
Monodiamesa sp.,Chironomidae
Musculium/Sphaerium,Sphaeriidae
Mysis diluviana,Mysis
Naidid fragment,Oligochaeta
Nais bretscheri,Oligochaeta
Nais communis,Oligochaeta
Nais communis/variablis,Oligochaeta
Nais simplex,Oligochaeta
Nais variabilis,Oligochaeta
Nemertea,Nemertea
Oecetis sp.,OtherInsecta
Oligochaeta Fragments,Oligochaeta
Oligochaeta immature,Oligochaeta
Ophidonais serpentina,Oligochaeta
Orthocladius sp.,Chironomidae
Paracladopelma sp.,Chironomidae
Paracladopelma winnelli,Chironomidae
Parakiefferiella sp.,Chironomidae
Paralauterborniella sp.,Chironomidae
Paranais frici,Oligochaeta
Paratanytarsus sp.,Chironomidae
Paratendipes albimanus,Chironomidae
Paratendipes sp.,Chironomidae
Paratrichocladius spp.,Chironomidae
Phaenopsectra obediens group,Chironomidae
Phallodrillus hallae,Oligochaeta
Physa sp.,Gastropoda
Piguetiella michiganesis,Oligochaeta
Pisidium sp.,Sphaeriidae
Polypedilum halterale group,Chironomidae
Polypedilum scalaenum group,Chironomidae
Polypedilum sp.,Chironomidae
Polypedilum tuberculum,Chironomidae
Potamopyrgus antipodarum,Gastropoda
Potamothrix bedoti/bavaricus,Oligochaeta
Potamothrix moldaviensis,Oligochaeta
Potamothrix vejdovskyi,Oligochaeta
Potthastia sp.,Chironomidae
Pristina spp.,Oligochaeta
Probythinella lacustris,Gastropoda
Procladius sp.,Chironomidae
Protanypus sp.,Chironomidae
Psammoryctides sp.,Oligochaeta
Psectrocladius sp.,Chironomidae
Quistadrilus multisetosus,Oligochaeta
Rhyacodrilus sp.,Oligochaeta
Rhyacodrilus montana,Oligochaeta
Rhyacodrilus sodalis,Oligochaeta
Sergentia sp.,Chironomidae
Slavina appendiculata,Oligochaeta
Specaria josinae,Oligochaeta
Sphaeriidae,Sphaeriidae
Spirosperma ferox,Oligochaeta
Spirosperma nikolskyi,Oligochaeta
Stephensoniania trivandrana,Oligochaeta
Stictochironomus sp.,Chironomidae
Stylaria lacustris,Oligochaeta
Stylodrilus heringianus,Oligochaeta
Tanytarsus sp.,Chironomidae
Tasserkidrilus americanus,Oligochaeta
Tasserkidrilus superiorensis,Oligochaeta
Tribelos sp.,Chironomidae
Tubifex tubifex,Oligochaeta
Tubificid fragment,Oligochaeta
Turbellaria,Platyhelminthes
Uncinais uncinata,Oligochaeta
Unid. Chironomidae,Chironomidae
Unid. Orthocladiinae,Chironomidae
Valvata lewisi,Gastropoda
Valvata perdepressa,Gastropoda
Valvata sincera/piscinalis,Gastropoda
Valvata sincera,Gastropoda
Valvata tricarinata,Gastropoda
Vejdovskyella intermedia,Oligochaeta
