Famille,Latin name,N,TL (cm),,,FL (cm),,,WT (g),,
,,,Mean,SD,Range (min-max),Mean,SD,Range (min-max),Mean,SD,Range            (min-max)
Acanthuridae,Acanthurus bahianus,1187,18.0,2.4,10-27,16.0,2.0,9.5-23.5,110.5,44.8,19.2-632
,Acanthurus chirurgus,314,21.4,3.4,12.5-31,20.1,3.2,12-29,220.0,98.2,25.8-490.1
,Acanthurus coeruleus,986,18.5,2.8,9.5-28,16.6,2.4,9-24.5,155.5,67.8,19.7-258
,Acanthurus tractus,99,17.2,2.0,13.5-24.5,15.2,1.7,12-21,99.3,35.4,44-3790
Albulidae,Albula vulpes,74,51.5,12.7,18-73.5,43.9,10.9,15-64,1551.9,1063.1,52-238.5
Balistidae,Balistes capriscus,12,18.8,4.1,6.5-22.5,17.5,3.9,6.5-21,153.9,66.4,8.6-2242.9
,Balistes vetula,107,43.0,9.0,21.5-66,31.2,5.8,18-45,905.4,445.4,164.4-4200
,Canthidermis sufflamen,19,44.1,5.1,36.5-57.5,42.5,4.3,37-54,1867.1,792.1,1087.2-756
,Melichthys niger,62,25.1,3.9,15-31.5,23.6,3.5,14.5-29,415.5,168.5,77-199
,Xanthichthys ringens,13,16.9,1.4,14.5-19.5,16.2,1.2,14-18,111.8,33.5,64.2-955
Belonidae,Tylosurus crocodilus,13,74.3,2.9,69-78,70.5,2.8,65.5-75,565.0,150.1,369.6-1268.9
Carangidae,Caranx bartholomaei,127,26.4,8.1,18-45.5,22.2,6.7,15.5-38.5,273.0,249.2,59-1663.4
,Caranx crysos,273,27.8,7.3,15.5-57,23.5,5.8,13-47,282.6,245.9,45-4600
,Caranx latus,203,42.1,13.1,20.5-73,35.4,11.2,17-63,1175.9,966.3,111-3100
,Caranx lugubris,12,49.8,6.7,40-61,42.7,5.8,34-53,1642.2,694.7,840.6-1855.5
,Caranx ruber,907,32.0,5.7,18-55,27.0,4.9,15-47.5,365.8,201.1,60.4-292.2
,Chloroscombrus chrysurus,17,27.3,3.7,21-34,23.0,3.1,17.5-28,175.2,56.5,81-90.7
,Decapterus punctatus,25,15.0,2.4,11.5-20.5,13.7,2.1,10.5-19,36.7,18.9,15-342
,Selar crumenophthalmus,47,20.5,2.0,16-29,18.3,1.8,14.5-26,105.5,41.7,44.3-394
,Selene brownii,20,26.6,1.9,21-29,21.7,1.6,17-24,277.0,67.2,131.4-539.2
,Selene vomer,18,28.9,3.6,23.5-35,23.6,2.8,19.5-28,349.4,121.1,144-652.5
,Seriola dumerili,12,29.2,4.7,23.5-40,25.5,4.2,20.5-35,307.8,152.9,114.6-652.2
,Seriola rivoliana,404,36.3,7.7,22.5-87,31.7,6.9,20-80,633.2,689.1,146.1-200
,Trachinotus goodei,21,22.5,1.6,19.5-26,18.0,1.1,16-20,148.6,26.7,96-1878
Chaetodontidae,Chaetodipterus faber,10,23.0,8.2,13-42,21.3,7.3,12.5-38,494.0,522.5,77-43.7
,Chaetodon capistratus,96,9.0,0.6,7.5-10.5,9.0,0.6,7.5-10.5,24.0,5.0,13-45.9
,Chaetodon sedentarius,21,10.2,0.6,9.5-11.5,10.1,0.6,9.5-11.5,30.6,6.5,22.5-105.2
,Chaetodon striatus,87,11.6,1.3,8-14,11.7,1.3,8-14,54.5,17.2,16.5-1046.3
Dactylopteridae,Dactylopterus volitans,82,35.7,3.1,26-43,33.9,2.9,24.5-41,521.4,148.2,233.4-435.2
Diodontidae,Diodon holocanthus,12,19.5,1.7,17-23,19.6,1.7,17-23,261.4,72.9,165.4-1489
Elopidae,Elops saurus,17,54.9,6.5,43-65.5,46.6,5.8,36-55.5,914.0,324.3,376.3-672
Gerreidae,Diapterus auratus,370,25.1,5.1,16-37.5,20.3,3.8,13-30,257.0,130.1,67.7-118
,Eucinostomus argenteus,24,14.3,3.1,9-20.5,12.1,2.5,8-17.5,43.8,28.6,12.2-1115.3
,Gerres cinereus,439,21.3,9.1,8.5-45,17.1,6.9,7-37,193.6,194.6,8-2245
Haemulidae,Anisotremus surinamensis,34,31.5,9.4,19.5-50.5,27.8,8.2,17-44.5,742.1,603.9,131-2245
,Brachygenys chrysargyreum,261,13.1,3.0,8-21,11.7,2.6,7-18.5,35.2,26.1,6.2-178.2
,Haemulon aurolineatum,965,12.4,2.8,7-23.5,10.9,2.5,6-22,30.3,25.4,5-740.2
,Haemulon bonariense,75,28.5,3.3,19.5-36,26.1,3.1,18-34,375.1,135.0,114-476.6
,Haemulon carbonarium,133,23.2,3.9,16-31.5,20.7,3.6,14-28,210.7,98.0,65.7-120.3
,Haemulon flavolineatum,444,18.3,1.9,8.5-23,16.4,1.8,7.5-21,97.1,28.6,8.3-1065.4
,Haemulon parra,290,27.5,4.3,18.5-40.5,24.8,3.8,16-36.5,349.6,162.2,121-927.7
,Haemulon plumierii,781,25.4,4.2,11.5-37.5,22.5,3.7,10.5-34,275.4,130.4,11.5-705
