Latin name ,Island,Sex,Sampling Date,W (g),FL (cm),TL (cm)
Abudefduf saxatilis,GUADELOUPE,F,5/22/22,161.3,16,18.5
Abudefduf saxatilis,GUADELOUPE,F,5/22/22,125,15.5,17.5
Abudefduf saxatilis,GUADELOUPE,M,5/22/22,113,14.5,16.5
Abudefduf saxatilis,MARTINIQUE,M,10/15/21,76,13,15
Abudefduf saxatilis,MARTINIQUE,F,10/15/21,84,13,15.5
Abudefduf saxatilis,MARTINIQUE,F,10/15/21,63,12,13.5
Abudefduf saxatilis,MARTINIQUE,F,4/26/22,95,14,16.5
Abudefduf saxatilis,MARTINIQUE,F,4/26/22,104,14.5,16.5
Abudefduf saxatilis,MARTINIQUE,M,4/26/22,64,13,14.5
Abudefduf saxatilis,MARTINIQUE,I,4/26/22,53,11.5,13
Abudefduf saxatilis,MARTINIQUE,M,4/26/22,52,11,13
Abudefduf saxatilis,MARTINIQUE,M,4/26/22,80,12.5,16
Abudefduf saxatilis,MARTINIQUE,M,4/26/22,90,14,16
Abudefduf saxatilis,MARTINIQUE,M,4/28/22,75,12.5,15
Abudefduf saxatilis,MARTINIQUE,F,4/28/22,88,13,15.5
Abudefduf saxatilis,MARTINIQUE,M,4/28/22,89,14,16.5
Abudefduf saxatilis,MARTINIQUE,I,4/28/22,67,12.5,14.5
Abudefduf saxatilis,MARTINIQUE,M,4/28/22,77,13,15
Abudefduf saxatilis,MARTINIQUE,M,4/28/22,62,12,14
Abudefduf saxatilis,MARTINIQUE,M,4/28/22,97,14,16.5
Abudefduf saxatilis,MARTINIQUE,M,4/28/22,99,13.5,16.5
Abudefduf saxatilis,MARTINIQUE,M,4/28/22,84,14,15.5
Abudefduf saxatilis,MARTINIQUE,M,4/28/22,49,11,13
Abudefduf saxatilis,MARTINIQUE,M,4/28/22,90,13.5,16
Abudefduf saxatilis,MARTINIQUE,M,4/28/22,94,14,16.5
Abudefduf saxatilis,MARTINIQUE,M,4/28/22,87,13,15.5
Abudefduf saxatilis,MARTINIQUE,I,4/28/22,60,12,14
Abudefduf saxatilis,MARTINIQUE,F,4/28/22,69,12.5,14
Abudefduf saxatilis,MARTINIQUE,M,4/28/22,85,13.5,15.5
Abudefduf saxatilis,MARTINIQUE,M,4/28/22,84,13,15.5
Abudefduf saxatilis,MARTINIQUE,M,4/28/22,69,13,15.5
Abudefduf saxatilis,MARTINIQUE,M,4/28/22,93,13,15.5
Abudefduf saxatilis,MARTINIQUE,F,4/28/22,74,12.5,14.5
Abudefduf saxatilis,MARTINIQUE,M,4/28/22,89,14,16
Abudefduf saxatilis,MARTINIQUE,M,4/28/22,87,13.5,15.5
Abudefduf saxatilis,MARTINIQUE,I,4/28/22,82,13.5,15.5
Abudefduf saxatilis,MARTINIQUE,M,4/28/22,44,11,13
Abudefduf saxatilis,MARTINIQUE,M,4/28/22,92,13.5,15.5
Abudefduf saxatilis,MARTINIQUE,M,4/28/22,91,14,16
Abudefduf saxatilis,MARTINIQUE,M,4/28/22,74,13,15.5
Abudefduf saxatilis,MARTINIQUE,I,4/28/22,79,13.5,16
Abudefduf saxatilis,MARTINIQUE,M,4/28/22,66,12,14
Abudefduf saxatilis,MARTINIQUE,I,4/28/22,52,11.5,13
Abudefduf saxatilis,MARTINIQUE,F,4/28/22,94,13,15
Abudefduf saxatilis,MARTINIQUE,I,4/28/22,89,14.5,16
Abudefduf saxatilis,MARTINIQUE,M,4/28/22,73,12.5,14.5
Abudefduf saxatilis,MARTINIQUE,M,4/28/22,79,12.5,15
Abudefduf saxatilis,MARTINIQUE,F,4/28/22,66,13.5,16
Abudefduf saxatilis,MARTINIQUE,I,4/28/22,70,13,15
Abudefduf saxatilis,MARTINIQUE,M,4/28/22,70,12,14.5
Abudefduf saxatilis,MARTINIQUE,F,4/28/22,71,13.5,15.5
Abudefduf saxatilis,MARTINIQUE,F,4/28/22,83,13,15
Abudefduf saxatilis,MARTINIQUE,I,4/28/22,79,14,16.5
Abudefduf saxatilis,MARTINIQUE,M,4/28/22,79,14.5,16.5
Abudefduf saxatilis,MARTINIQUE,M,4/28/22,75,13.5,15.5
Abudefduf saxatilis,MARTINIQUE,I,4/28/22,81,13.5,15
Abudefduf saxatilis,MARTINIQUE,F,4/28/22,83,13.5,16
Abudefduf saxatilis,MARTINIQUE,M,8/22/22,109.9,13.5,15.5
Abudefduf saxatilis,MARTINIQUE,F,8/30/22,89,13,15
Abudefduf saxatilis,MARTINIQUE,M,8/30/22,79.1,13.5,15.5
Abudefduf saxatilis,MARTINIQUE,I,8/30/22,62.2,12,14
Abudefduf saxatilis,MARTINIQUE,F,8/30/22,48.8,10.5,12.5
Abudefduf saxatilis,MARTINIQUE,M,8/30/22,64.2,12.5,14.5
Abudefduf saxatilis,MARTINIQUE,F,8/30/22,76.3,13,14.5
Abudefduf saxatilis,MARTINIQUE,M,8/30/22,86.6,14,16
Abudefduf saxatilis,MARTINIQUE,M,8/30/22,69.3,13,15.5
Abudefduf saxatilis,MARTINIQUE,F,8/30/22,110.8,15.5,17
Abudefduf saxatilis,MARTINIQUE,M,8/30/22,104.7,15,17
Abudefduf saxatilis,MARTINIQUE,M,8/30/22,85.8,13,15.5
Abudefduf saxatilis,MARTINIQUE,M,8/30/22,74,12.5,15
Abudefduf saxatilis,MARTINIQUE,F,8/30/22,48,11,13
Abudefduf saxatilis,MARTINIQUE,I,8/30/22,89.7,13.5,16
Abudefduf saxatilis,MARTINIQUE,F,8/30/22,70.2,12.5,14.5
Abudefduf saxatilis,MARTINIQUE,M,8/30/22,85.1,14,16
Abudefduf saxatilis,MARTINIQUE,M,8/30/22,83.5,13.5,15.5
Abudefduf saxatilis,MARTINIQUE,M,8/30/22,62.9,13,14.5
Abudefduf saxatilis,MARTINIQUE,I,8/30/22,85,13,15.5
Abudefduf saxatilis,MARTINIQUE,F,8/30/22,88.3,13.5,15.5
Abudefduf saxatilis,MARTINIQUE,M,8/30/22,66.5,13,15
Abudefduf saxatilis,MARTINIQUE,M,8/30/22,95.2,14.5,16.5
Abudefduf saxatilis,MARTINIQUE,M,8/30/22,79.9,13,15
Abudefduf saxatilis,MARTINIQUE,M,8/30/22,90.4,13,15
Abudefduf saxatilis,MARTINIQUE,M,8/30/22,80.4,14,16
Abudefduf saxatilis,MARTINIQUE,I,8/30/22,57.9,12.5,14
Abudefduf saxatilis,MARTINIQUE,M,8/30/22,80.5,13.5,15.5
Abudefduf saxatilis,MARTINIQUE,F,8/30/22,74.9,12.5,14
Abudefduf saxatilis,MARTINIQUE,M,8/30/22,79.5,13,15
Abudefduf saxatilis,MARTINIQUE,F,8/30/22,55.6,11.5,13.5
Abudefduf saxatilis,MARTINIQUE,M,8/30/22,87.7,14,16.5
Abudefduf saxatilis,MARTINIQUE,M,8/30/22,89.9,13.5,16
Abudefduf saxatilis,MARTINIQUE,F,8/30/22,84.3,13.5,16
Abudefduf saxatilis,MARTINIQUE,M,8/30/22,69.9,13,15
Abudefduf saxatilis,MARTINIQUE,I,8/30/22,72.3,13,15.5
