species,family,order,M_mg,Q_uW25,mass_g
Unknown species*,Meinertellidae,Archaeognatha,12.75,38.3,0.01275
Species 1 (Sutherland)*,Lepismatidae,Thysanura,23.04,36.9,0.023039999999999998
Species 2 (Stellenbosch)*,Lepismatidae,Thysanura,26.64,23.0,0.02664
Species 3 (Cederberg)*,Lepismatidae,Thysanura,17.8,42.3,0.0178
Anax junius,Aeschnidae,Odonata,1019.0,4148.4,1.019
Brachymesia gravida,Libellulidae,Odonata,344.0,1555.6,0.344
Erythemis simplicicollis,Libellulidae,Odonata,263.0,877.5,0.263
Erythrodiplax berenice,Libellulidae,Odonata,125.0,438.8,0.125
Erythrodiplax connata,Libellulidae,Odonata,52.0,191.5,0.052
Libellula auripennis,Libellulidae,Odonata,464.0,1396.1,0.464
Libellula needhami,Libellulidae,Odonata,518.0,1675.3,0.518
Miathyria marcella,Libellulidae,Odonata,17.1,765.9,0.0171
Pachydiplax longipennis,Libellulidae,Odonata,200.0,1765.2,0.2
Pantala flavescens,Libellulidae,Odonata,339.0,1675.3,0.339
Perithemis tenera,Libellulidae,Odonata,61.0,331.1,0.061
Tramea carolina,Libellulidae,Odonata,383.0,1795.0,0.383
Coptotermes formosanus,Rhinotermitidae,Isoptera,2.95,8.1,0.0029500000000000004
Heterotermes tenuior,Rhinotermitidae,Isoptera,1.4,1.9,0.0014
Reticulitermes flavipes,Rhinotermitidae,Isoptera,2.97,12.0,0.00297
Schedorhinotermes javanicus,Rhinotermitidae,Isoptera,2.7,2.9,0.0027
Schedorhinotermes sarawakensis,Rhinotermitidae,Isoptera,8.3,17.9,0.0083
Labritermes kistneri,Termitidae,Isoptera,0.7,2.0,0.0007
Dicuspiditermes nemorosus,Termitidae,Isoptera,3.5,1.7,0.0035
Dicuspiditermes santschii,Termitidae,Isoptera,2.6,0.6,0.0026
Homallotermes eleanorae,Termitidae,Isoptera,2.2,1.5,0.0022
Pericapritermes nitobei,Termitidae,Isoptera,1.2,1.2,0.0012
Pericapritermes semarangi,Termitidae,Isoptera,1.3,0.8,0.0013
Procapritermes nr. sandakanensis,Termitidae,Isoptera,5.9,2.4,0.005900000000000001
Syncapritermes sp. A,Termitidae,Isoptera,6.7,3.1,0.0067
Termes borneensis,Termitidae,Isoptera,3.0,2.1,0.003
Globitermes globosus,Termitidae,Isoptera,1.9,1.4,0.0019
Prohamitermes mirabilis,Termitidae,Isoptera,3.5,1.9,0.0035
Aciculioiditermes sp. A,Termitidae,Isoptera,1.8,1.8,0.0018
Bulbitermes sp. C,Termitidae,Isoptera,2.8,2.3,0.0028
Havilanditermes atripennis,Termitidae,Isoptera,8.0,8.0,0.008
Hospitalitermes hospitalis,Termitidae,Isoptera,7.7,5.6,0.0077
Nasutitermes longinasus,Termitidae,Isoptera,2.6,1.5,0.0026
Proaciculitermes sp. A,Termitidae,Isoptera,1.1,0.8,0.0011
