Group,Higher_Taxon,Family,Species,MIN,q25Wkg,qWkg,Mg,TC,DMg,N_DM,WC,Source,mass_g
I,Copepoda,Acartiidae,Acartia clausi,MIN,5.2520,2.626,0.0000275,15,0.0000055,80,,Nival et al. 1972,0.0000275
I,Copepoda,Acartiidae,Acartia clausi,,7.5,2.0,0.000025,5.9,0.0000049,80,,Conover 1960,0.000025
I,Copepoda,Acartiidae,Acartia clausi,,8.3145,4.1,0.0000425,14.8,0.0000085,80,,Ikeda et al. 2001,0.0000425
I,Copepoda,Acartiidae,Acartia clausi,,13.6,3.4,0.000021,5,0.0000041,80,,Conover 1960,0.000021
I,Copepoda,Acartiidae,Acartia clausi,,14.4,3.6,0.000024,5,0.0000047,80,,Conover 1960,0.000024
I,Copepoda,Acartiidae,Acartia clausi,,15.8,4.2,0.000022,5.9,0.0000044,80,,Conover 1960,0.000022
I,Copepoda,Acartiidae,Acartia clausi,,16.3,4.25,0.000037,5.6,0.0000073,80,,Conover 1960,0.000037
I,Copepoda,Acartiidae,Acartia clausi,,17.6,4.4,0.000036,5,0.0000072,80,,Conover 1960,0.000036
I,Copepoda,Acartiidae,Acartia latisetosa,MIN,11.7,8.3,0.0000297,20,,,,Pavlova 1961,0.0000297
I,Copepoda,Acartiidae,Acartia longiremis,MIN,11.1665,3.84,0.0000405,9.6,0.0000081,80,,Ikeda et al. 2001,0.0000405
I,Copepoda,Acartiidae,Acartia pacifica,MIN,6.1580,6.6,0.000039,26,0.0000078,80,,Ikeda et al. 2001,0.000039
I,Copepoda,Acartiidae,Acartia tonsa,MIN,10.9572,8.9,0.000035,22,0.000007,80,,Ikeda et al. 2001,0.000035
I,Copepoda,Arietellidae,Arietellus cf.,,plumifer,MIN,0.880,0.220,0.0095,5,,Thuesen et al. 1998,0.880
I,Copepoda,Megacalanidae,Bathycalanus bradyi,MIN,0.5788,0.135,0.0299,4,0.0084,0.069,72,Childress 1975,0.0299
I,Copepoda,Megacalanidae,Bathycalanus bradyi,,0.816,0.204,0.0555,5,,,,Thuesen et al. 1998,0.0555
I,Copepoda,Megacalanidae,Bathycalanus bradyi,,1.5862,0.370,0.0299,4,0.0084,0.069,72,Childress 1975,0.0299
I,Copepoda,Megacalanidae,Bathycalanus bradyi,,0.736,0.184,0.0756,5,,,,Thuesen et al. 1998,0.0756
I,Copepoda,Megacalanidae,Bathycalanus bradyi,,1.071,0.210,0.0530,1.5,,,,Thuesen et al. 1998,0.0530
I,Copepoda,Megacalanidae,Bathycalanus princeps,MIN,0.2280,0.059,0.0355,5.5,0.0070,0.096,80.2,Childress 1975,0.0355
I,Copepoda,Megacalanidae,Bathycalanus princeps,,1.2634,0.327,0.0355,5.5,0.0070,0.096,80.2,Childress 1975,0.0355
I,Copepoda,Megacalanidae,Bathycalanus richard,MIN,0.732,0.183,0.0380,5,,,,Thuesen et al. 1998,0.0380
I,Copepoda,Megacalanidae,Bathycalanus richardi,,0.532,0.133,0.0560,5,,,,Thuesen et al. 1998,0.0560
I,Copepoda,Megacalanidae,Bathycalanus richardi,,1.193,0.234,0.0377,1.5,,,,Thuesen et al. 1998,0.0377
I,Copepoda,Megacalanidae,Bathycalanus sp.,MIN,1.67,0.42,0.0895,5.1,0.0179,80,,Conover 1960,0.0895
I,Copepoda,Megacalanidae,Bathycalanus sp.,,A,MIN,0.816,0.204,0.0572,5,,Thuesen et al. 1998,0.816
I,Copepoda,Calanidae,Calanoides acutus,MIN,0.9108,0.161,0.003329,0,0.00079,76.3,,Kawall et al. 2001,0.003329
I,Copepoda,Calanidae,Calanoides acutus,,3.3841,0.59,0.002,-0.2,0.000394,80,,Ikeda et al. 2001,0.002
I,Copepoda,Calanidae,Calanoides acutus,,3.8652,0.66,0.0011,-0.5,0.000218,80,,Ikeda et al. 2001,0.0011
I,Copepoda,Pontellidae,Calanopia elliptica,MIN,4.7079,5.56,0.00028,27.4,0.000056,80,,Ikeda et al. 2001,0.00028
I,Copepoda,Calanidae,Calanus cristatus,MIN,2.8473,1.094,0.00862,11.2,0.00169,,,Ikeda 1971,0.00862
I,Copepoda,Calanidae,Calanus cristatus,,2.9639,1.100,0.00908,10.7,0.00178,,,Ikeda 1971,0.00908
I,Copepoda,Calanidae,Calanus cristatus,,3.1012,1.167,0.00704,10.9,0.00138,,,Ikeda 1971,0.00704
I,Copepoda,Calanidae,Calanus cristatus,,6.0946,1.850,0.00918,7.8,0.0018,,,Ikeda 1971,0.00918
I,Copepoda,Calanidae,Calanus cristatus,,7.0211,2.161,0.00755,8,0.00148,,,Ikeda 1971,0.00755
I,Copepoda,Calanidae,Calanus cristatus,,7.4097,2.394,0.0076,8.7,0.00149,,,Ikeda 1971,0.0076
I,Copepoda,Calanidae,Calanus finmarchicus,MIN,1.6,0.50,0.0017,8,0.000344,80,,Conover 1960,0.0017
I,Copepoda,Calanidae,Calanus finmarchicus,,3.6,1.06,0.00094,7.5,0.000188,80,,Conover 1960,0.00094
I,Copepoda,Calanidae,Calanus finmarchicus,,7,1.25,0.0015,0.1,0.000387,0.0763,73.5,Ikeda & Skjoldal 1989,0.0015
I,Copepoda,Calanidae,Calanus glacialis,MIN,7.8,1.73,0.002,3.5,0.000410,0.1121,79.7,Ikeda & Skjoldal 1989,0.002
I,Copepoda,Calanidae,Calanus glacialis,,7.83,1.34,0.0024,-0.5,0.000662,0.0969,76.6,Ikeda & Skjoldal 1989,0.0024
I,Copepoda,Calanidae,Calanus helgolandicus,MIN,7.8180,3.909,0.000415,15,0.000086,83,,Nival et al. 1972,0.000415
I,Copepoda,Calanidae,Calanus helgolandicus,,12.6912,4.487,0.000595,10,0.000119,80,,Nival et al. 1972,0.000595
I,Copepoda,Calanidae,Calanus hyperboreus,MIN,1.05,0.37,0.013,10,0.00368,71,,Conover 1960,0.013
I,Copepoda,Calanidae,Calanus hyperboreus,,1.36,0.48,0.012,10,0.00362,71,,Conover 1960,0.012
I,Copepoda,Calanidae,Calanus hyperboreus,,2.23,0.79,10,0.00155,71,,,Conover 1960,10
I,Copepoda,Calanidae,Calanus hyperboreus,,3.7,0.67,0.012,1.3,0.00395,0.0715,68,Ikeda & Skjoldal 1989,0.012
I,Copepoda,Calanidae,Calanus hyperboreus,,3.72,0.70,0.0081,0.9,0.00194,0.0737,76.1,Ikeda & Skjoldal 1989,0.0081
I,Copepoda,Calanidae,Calanus hyperboreus,,3.9,0.68,0.0085,-0.3,0.00268,0.0670,68.6,Ikeda & Skjoldal 1989,0.0085
I,Copepoda,Calanidae,Calanus pacificus,MIN,8.3190,4.778,0.000513,17,0.00009,82.5,,Ikeda 1970,0.000513
I,Copepoda,Calanidae,Calanus propinquus,MIN,1.6631,0.294,0.004718,0,0.00101,78.5,,Kawall et al. 2001,0.004718
I,Copepoda,Calanidae,Calanus propinquus,,5.4,0.89,0.0042,-1,0.000847,0.123,80,Ikeda & Mitchell 1982,0.0042
I,Copepoda,Calanidae,Calanus propinquus,,7.0936,1.17,0.0056,-1,0.00104,0.125,81.4,Ikeda 1988,0.0056
I,Copepoda,Calanidae,Calanus propinquus,,7.6,1.26,0.0052,-1,0.00104,0.125,80,Ikeda & Mitchell 1982,0.0052
I,Copepoda,Calanidae,Calanus tonsus,MIN,13.2049,2.178,0.001,-1,0.0002,90,,Opalinski 1991,0.001
