Species,q25Wkg,Logq25Wkg,Mg,LogMg,TC,qWkg,mass_g
Acris crepitans,0.369,-0.433,1.59,0.201,15,0.167,1.59
Agalychnis callidryas,0.492,-0.308,5.65,0.752,20,0.331,5.65
Ambystoma gracile,0.256,-0.592,30.39,1.483,15,0.116,30.39
Ambystoma jeffersonianum,0.435,-0.362,8.92,0.950,15,0.197,8.92
Ambystoma macrodactylum,0.396,-0.402,3.414,0.533,15,0.179,3.414
Ambystoma maculatum,0.281,-0.551,15.83,1.199,15,0.127,15.83
Ambystoma mexicanum,0.105,-0.979,21.3,1.328,22,0.083,21.3
Ambystoma opacum,0.246,-0.609,4.65,0.667,14,0.103,4.65
Ambystoma talpoideum,0.981,-0.008,7,0.845,15,0.444,7
Ambystoma tigrinum,0.157,-0.804,10.78,1.033,15,0.071,10.78
Amphiuma means,0.068,-1.167,352,2.547,5,0.014,352
Amphiuma tridactylum,0.046,-1.337,652,2.814,15,0.021,652
Aneides ferreus,0.334,-0.476,2.73,0.436,15,0.151,2.73
Aneides flavipunctatus,0.323,-0.491,4.57,0.660,15,0.146,4.57
Aneides hardii,0.437,-0.360,0.97,-0.013,20,0.294,0.97
Aneides lugubris,0.329,-0.483,5.58,0.747,15,0.149,5.58
Batrachoseps attenuatus,0.479,-0.320,0.93,-0.032,25,0.479,0.93
Bolitoglossa franklini,0.212,-0.674,3.18,0.502,15,0.096,3.18
Bolitoglossa morio,0.261,-0.583,2.09,0.320,15,0.118,2.09
Bolitoglossa occidentalis,0.256,-0.592,0.97,-0.013,15,0.116,0.97
Bolitoglossa subpalmata,0.264,-0.578,1.63,0.212,5,0.054,1.63
Bombina orientalis,0.462,-0.335,2.6,0.415,20,0.311,2.6
Boulengerula taitanus,0.433,-0.364,5,0.699,35,0.956,5
Bufo alvaris,0.966,-0.015,150.8,2.178,15,0.437,150.8
Bufo americanus,0.229,-0.640,50,1.699,20,0.154,50
Bufo boreas,0.150,-0.824,57.8,1.762,20,0.101,57.8
Bufo bufo,0.460,-0.337,76.13,1.882,15,0.208,76.13
Bufo calamita,0.479,-0.320,8.7,0.940,20,0.322,8.7
Bufo cognatus,0.409,-0.388,40.2,1.604,25,0.409,40.2
Bufo debilus,1.571,0.196,0.66,-0.180,15,0.711,0.66
Bufo marinus,0.130,-0.886,145,2.161,15,0.059,145
Bufo terrestris,0.629,-0.201,19.8,1.297,25,0.629,19.8
Bufo viridis,0.207,-0.684,35,1.544,20,0.139,35
Bufo woodhousii,0.221,-0.656,56.3,1.751,25,0.221,56.3
Ceratophrys calcarata,0.297,-0.527,55.5,1.744,25,0.297,55.5
Chiromantis petersi,0.394,-0.405,11.2,1.049,25,0.394,11.2
Chiropterotriton bromeliacia,0.301,-0.521,0.59,-0.229,15,0.136,0.59
Colostethus inguinalis,0.718,-0.144,1.57,0.196,20,0.483,1.57
Colostethus nubicola,0.895,-0.048,0.27,-0.569,25,0.895,0.27
