Species,q25Wkg,Logq25Wkg,Mg,LogMg,TC,qWkg,mass_g
Acabthodactylus boskianus,0.437,-0.360,7.8,0.892,40,1.667,7.8
Acanthodactylus erythrurus,0.797,-0.099,9,0.954,35,1.945,9
Acanthodactylus opheodurus,0.740,-0.131,3.8,0.580,30,1.156,3.8
Acanthodactylus pardalis,1.020,0.009,9.7,0.987,40,3.889,9.7
Acanthodactylus schmidti,0.505,-0.297,14.5,1.161,35,1.233,14.5
Acanthodactylus schreiberi,0.407,-0.390,10.9,1.037,40,1.550,10.9
Acanthodactylus scutellatus,0.671,-0.173,6.6,0.820,40,2.556,6.6
Acanthophis praelongus,0.167,-0.777,105.5,2.023,30,0.261,105.5
Acontias meleagris,0.253,-0.597,7.3,0.863,33,0.517,7.3
Acrantophis dumerili,0.066,-1.180,2548.5,3.406,20,0.042,2548.5
Acrochordus aradurae,0.084,-1.076,1047.7,3.020,30,0.131,1047.7
Aligator mississippiensis,0.118,-0.928,1287,3.110,10,0.031,1287
Amblyrhynchus cristatus,0.203,-0.693,747.5,2.874,25,0.203,747.5
Amphibolurus barbatus,0.267,-0.573,373,2.572,37,0.778,373
Amphibolurus nuchalis,0.351,-0.455,24.65,1.392,40,1.339,24.65
Anarbylus switaki,0.410,-0.387,9.48,0.977,25,0.410,9.48
Anguis fragilis,0.209,-0.680,12.067,1.082,30,0.327,12.067
Anniella pulchra,0.363,-0.440,4.8466,0.685,25,0.363,4.8466
Anolis acutus,1.031,0.013,4.3,0.633,30,1.611,4.3
Anolis bonariensis,0.302,-0.520,12,1.079,27,0.361,12
Anolis carolinensis,0.669,-0.175,4.5,0.653,30,1.045,4.5
Anolis limifrons,0.694,-0.159,1.5,0.176,20,0.444,1.5
Antaresia childreni,0.212,-0.674,331.7,2.521,24,0.194,331.7
Antaresia stimsoni,0.203,-0.693,349.9,2.544,30,0.317,349.9
Aspidites melanocephalus,0.223,-0.652,1027.5,3.012,24,0.204,1027.5
Blanus cinereus,0.626,-0.203,2.4,0.380,30,0.978,2.4
Boa constrictor,0.058,-1.237,7815.5,3.893,30,0.090,7815.5
Bunopus tuberculatus,2.330,0.367,2.5,0.398,35,5.684,2.5
Candoia carinatus,0.064,-1.194,521.9,2.718,20,0.041,521.9
Chalcides ocellatus,0.256,-0.592,22.06,1.344,33,0.522,22.06
Chelydra serpentina,0.072,-1.143,3473,3.541,10,0.019,3473
Chironius quadricarinatus,0.295,-0.530,61,1.785,20,0.189,61
Cnemidophorus murinus,0.267,-0.573,85,1.929,40,1.017,85
Cnemidophorus tigris,0.498,-0.303,18,1.255,30,0.778,18
Coleonyx variegatus,0.814,-0.089,3.43,0.535,25,0.814,3.43
Coluber constrictor,0.146,-0.836,262,2.418,35,0.356,262
Corallus caninus,0.077,-1.114,556,2.745,20,0.049,556
Corallus enhydris,0.083,-1.081,802,2.904,30,0.130,802
Cosymbotus platyurus,0.465,-0.333,3.5,0.544,27,0.556,3.5
Crotalus viridis,0.146,-0.836,301,2.479,35,0.356,301
Crotaphytus collaris,0.534,-0.272,30,1.477,37,1.556,30
Ctenotus labillardieri,0.620,-0.208,2.8,0.447,20,0.397,2.8
Cyclagras gigas,0.278,-0.556,2680,3.428,20,0.178,2680
Diadophis punctatus,0.469,-0.329,4.4,0.643,30,0.733,4.4
Diplometopon zarudnyi,0.348,-0.458,6.34,0.802,35,0.850,6.34
Dipsas albifrons,0.312,-0.506,22,1.342,20,0.200,22
Dipsosaurus dorsalis,0.233,-0.633,40.36,1.606,45,1.389,40.36
Egernia cunninghami,0.295,-0.530,261,2.417,20,0.189,261
Elaphe guttata,0.628,-0.202,800,2.903,25,0.628,800
Epicrates cenchria,0.104,-0.983,416,2.619,30,0.162,416
Eryx colubrinus,0.128,-0.893,85.85,1.934,20,0.082,85.85
Eumeces fasciatus,0.853,-0.069,7,0.845,30,1.333,7
Eumeces inexpectatus,0.544,-0.264,9.6,0.982,30,0.850,9.6
Eumeces obsoletus,0.434,-0.363,30,1.477,20,0.278,30
Eunectes murinus,0.183,-0.738,1130,3.053,20,0.117,1130
Eunectes notaeus,0.130,-0.886,14400,4.158,20,0.083,14400
Garthia gaudichaudi,0.531,-0.275,0.805,-0.094,25,0.531,0.805
Gekko gecko,0.343,-0.465,61.5,1.789,30,0.536,61.5
Gerrhonotus multicarinatus,0.494,-0.306,29,1.462,20,0.316,29
Gonotodes antillensis,0.413,-0.384,1.8,0.255,34,0.922,1.8
Helicops modestus,0.196,-0.708,196,2.292,30,0.306,196
Hemidactylus frenatus,0.488,-0.312,2,0.301,27,0.583,2
Iguana iguana,0.286,-0.544,795,2.900,37,0.833,795
Klauberina riversiana,0.045,-1.347,19,1.279,35,0.111,19
Lacerta agilis,1.109,0.045,8.4,0.924,35,2.706,8.4
Lacerta sicula,0.472,-0.326,9,0.954,20,0.302,9
Lacerta trilineata,0.198,-0.703,71,1.851,20,0.127,71
Lacerta viridis,0.234,-0.631,31,1.491,20,0.150,31
Lacerta vivipara,0.843,-0.074,3.95,0.597,30,1.317,3.95
Lampropeltis getulus,0.143,-0.845,1217,3.085,26,0.156,1217
Lampropeltis miliaris,0.267,-0.573,401,2.603,25,0.267,401
Leimadophis poecilogyrus,0.347,-0.460,42,1.623,20,0.222,42
Lepidophyma gaigeae,0.366,-0.437,5,0.699,15,0.150,5
Lepidophyma smithi,0.249,-0.604,25,1.398,30,0.389,25
Liasis fuscus,0.078,-1.108,1306.9,3.116,30,0.122,1306.9
Liasis olivaceus,0.091,-1.041,3000.7,3.477,24,0.083,3000.7
Lichanura roseofusca,0.208,-0.682,314,2.497,32,0.389,314
Lichanura trivirgata,0.114,-0.943,182,2.260,20,0.073,182
Masticodryas bifossatus,0.373,-0.428,735,2.866,20,0.239,735
Masticophis flagellum,1.936,0.287,262,2.418,35,4.723,262
Morelia spilota variegata,0.092,-1.036,2173.5,3.337,30,0.144,2173.5
Natrix maura,0.214,-0.670,22.5,1.352,5,0.036,22.5
Natrix natrix helretica,0.131,-0.883,82.5,1.916,5,0.022,82.5
Nerodia rhombifera,0.338,-0.471,238,2.377,30,0.528,238
Ophisaurus ventralis,0.214,-0.670,32.185,1.508,25,0.214,32.185
Oxyrhopus trigeminus,0.303,-0.519,98,1.991,20,0.194,98
Pelamis platurus,0.213,-0.672,116,2.064,30,0.333,116
Philodryas olfersii,0.339,-0.470,176,2.246,20,0.217,176
Philodryas patagoniensis,0.442,-0.355,388,2.589,20,0.283,388
Philodryas serra,0.303,-0.519,135,2.130,20,0.194,135
Phrynosoma cornutum,0.378,-0.423,35,1.544,35,0.922,35
Phrynosoma douglassi,0.389,-0.410,28,1.447,35,0.950,28
Phrynosoma m'calli,0.524,-0.281,16,1.204,37,1.528,16
Physignathus lesueurii,0.267,-0.573,504,2.702,37,0.778,504
Pituophis melanolecus,0.166,-0.780,548,2.739,20,0.106,548
Pitupophis catenifer affinis,0.142,-0.848,548,2.739,30,0.222,548
Podarcis hispanica,0.423,-0.374,3.43,0.535,10,0.111,3.43
Podarcis lilfordi brauni,0.634,-0.198,7.4,0.869,20,0.406,7.4
Podarcis muralis,0.972,-0.012,5.5,0.740,35,2.372,5.5
Psammodromus algirus,1.067,0.028,5.2,0.716,20,0.683,5.2
Pseudemys scripta,0.080,-1.097,305,2.484,10,0.021,305
Pseudonaja nuchalis,0.201,-0.697,214.1,2.331,33,0.411,214.1
Ptyodactylus hasselquistii,0.519,-0.285,8.5,0.929,30,0.811,8.5
Python curtis,0.064,-1.194,2373.5,3.375,20,0.041,2373.5
Python molurus,0.044,-1.357,29777.25,4.474,20,0.028,29777.25
Python regius,0.077,-1.114,787,2.896,20,0.049,787
Python reticulatus,0.078,-1.108,14326,4.156,20,0.050,14326
