Species,q25Wkg,Logq25Wkg,Mg,LogMg,TC,qWkg,mass_g,N
Abramis brama,0.746,-0.127,102.90,2.012,18.0,0.5252,102.90,40
Acanthopagrus schlegelii schlegelii,0.117,-0.932,254.00,2.405,25.0,0.1167,254.00,21
Acipenser gueldenstaedtii,0.387,-0.412,208.00,2.318,18.0,0.2723,208.00,8
Acipenser nudiventris,0.714,-0.146,89.00,1.949,19.0,0.5290,89.00,1
Acipenser ruthenus,0.175,-0.757,258.00,2.412,20.0,0.1362,258.00,4
Acipenser stellatus,0.345,-0.462,6500.00,3.813,20.0,0.2684,6500.00,22
Acipenser transmontanus,0.019,-1.721,950.00,2.978,15.0,0.0117,950.00,10
Aequidens pulcher,0.475,-0.323,5.00,0.699,25.0,0.4746,5.00,1
Alburnus alburnus,0.729,-0.137,9.00,0.954,8.0,0.3112,9.00,4
Ambassis interrupta,0.315,-0.502,5.00,0.699,25.0,0.3151,5.00,10
Ameiurus melas,0.424,-0.373,50.00,1.699,17.0,0.2840,50.00,3
Ameiurus natalis,0.334,-0.476,20.00,1.301,15.0,0.2023,20.00,6
Ameiurus nebulosus,0.165,-0.783,116.00,2.064,10.0,0.0778,116.00,90
Anabas testudineus,0.017,-1.770,27.62,1.441,28.0,0.0195,27.62,86
Anarhichas minor,0.458,-0.339,27.50,1.439,1.35,0.1400,27.50,1
Anguilla anguilla,0.128,-0.893,71.10,1.852,14.0,0.0739,71.10,151
Anguilla australis australis,0.110,-0.959,700.00,2.845,20.0,0.0856,700.00,2
Anguilla japonica,0.132,-0.879,325.00,2.512,14.5,0.0778,325.00,34
Anguilla rostrata,0.135,-0.870,315.00,2.498,15.0,0.0817,315.00,19
Anoplogaster cornuta,0.032,-1.495,36.70,1.565,5.0,0.0117,36.70,14
Aphanius dispar dispar,1.940,0.288,0.56,-0.252,17.0,1.2993,0.56,5
Arapaima gigas,0.084,-1.076,2300.00,3.362,28.0,0.0973,2300.00,35
Aristostomias lunifer,0.159,-0.799,21.10,1.324,5.0,0.0584,21.10,1
Bajacalifornia burragei,0.085,-1.071,24.90,1.396,5.0,0.0311,24.90,1
Balistes capriscus,0.476,-0.322,320.00,2.505,17.5,0.3268,320.00,3
Bathylagus antarcticus,0.349,-0.457,27.15,1.434,0.25,0.1011,27.15,1
Bathylagus stilbius,0.371,-0.431,8.55,0.932,5.0,0.1362,8.55,1
Bathylagus wesethi,1.121,0.050,1.50,0.176,10.0,0.5290,1.50,1
Benthalbella elongata,0.712,-0.148,35.30,1.548,0.25,0.2062,35.30,1
Boreogadus saida,0.233,-0.633,110.00,2.041,1.0,0.0700,110.00,7
