Species,qWkg,LogqWkg,Mg,LogMg,Src,mass_g
Acanthis cannabina,20.1,1.302,16.9,1.228,G,16.9
Acanthis flammea,20.4,1.31,14.0,1.146,G,14.0
Acanthorhynchus tenuirostris,25.7,1.409,9.7,0.987,MW,9.7
Accipiter nisus,7.0,0.848,135.0,2.13,G,135.0
Acrcocephalus palustris,18.9,1.276,10.8,1.033,G,10.8
Acridotheres cristatellus,11.0,1.042,109.4,2.039,MW,109.4
Acrocephalus arundinaceus,11.7,1.069,21.9,1.34,MW,21.9
Acrocephalus bistrigiceps,16.6,1.22,7.9,0.898,MW,7.9
Acrocephalus palustris,18.8,1.274,10.8,1.033,MW,10.8
Acrocephalus schoenobaenus,18.9,1.277,11.5,1.061,G,11.5
Aegithalos caudatus,22.4,1.35,8.9,0.949,G,8.9
Aegolius acadicus,5.3,0.722,124.0,2.093,MW,124.0
Aethopyga christinae,22.7,1.356,5.2,0.716,MW,5.2
Agapornis fisheri,9.3,0.969,56.7,1.754,G,56.7
Agapornis roseicollis,9.6,0.983,48.4,1.685,G,48.4
Agelaius phoeniceus,14.7,1.167,56.7,1.754,MW,56.7
Agleactis cupripennis,35.0,1.544,7.2,0.857,MW,7.2
Aix sponsa,5.0,0.701,448.0,2.651,G,448.0
Alaemon alaudipes,11.3,1.054,37.7,1.576,MW,37.7
Alauda arvensis,22.8,1.357,31.7,1.501,MW,31.7
Alcedo atthis,11.0,1.043,34.3,1.535,G,34.3
Alectoris graeca,4.0,0.602,633.0,2.801,G,633.0
Alophoixus bres,10.1,1.005,35.0,1.544,MW,35.0
Amadina erythrocephala,9.5,0.978,22.4,1.35,MW,22.4
Amadina fasciata,12.4,1.095,17.2,1.236,MW,17.2
Ammodramus savannarum,12.9,1.111,13.8,1.14,MW,13.8
Amphispiza bilineata,17.0,1.23,11.6,1.064,MW,11.6
Anas acuta,6.1,0.782,721.0,2.858,MW,721.0
Anas penelope,3.9,0.592,723.0,2.859,G,723.0
Anas platyrhynchos,4.0,0.601,1020.0,3.009,G,1020.0
Anas strepera,7.8,0.894,791.0,2.898,MW,791.0
Anhinga rufa (anhinga),3.1,0.487,1040.0,3.017,MW,1040.0
Anser anser,3.3,0.524,3250.0,3.512,G,3250.0
Anthracothorax nigricollis,39.6,1.598,7.7,0.886,MW,7.7
Anthus campestris,17.6,1.245,21.8,1.338,G,21.8
Anthus pratensis,15.9,1.201,18.9,1.276,MW,18.9
Anthus trivialis,17.2,1.236,19.7,1.294,G,19.7
Aptenodytes patagonica,2.0,0.298,11080.0,4.045,G,11080.0
Apteryx australis,1.7,0.229,2380.0,3.377,MW,2380.0
Apteryx haasti,1.7,0.232,2450.0,3.389,MW,2450.0
Apteryx owenii,1.9,0.276,1096.0,3.04,MW,1096.0
Apus apus,9.7,0.988,44.9,1.652,G,44.9
Arachnothera longirostra,14.5,1.163,13.0,1.114,MW,13.0
Ardea herodias,3.3,0.52,1870.0,3.272,MW,1870.0
Arenaria interpres,10.2,1.01,90.0,1.954,MW,90.0
Asio flammeus,3.2,0.501,406.0,2.609,MW,406.0
Asio otus,3.8,0.578,252.0,2.401,MW,252.0
Authus pratensis,15.9,1.202,18.9,1.276,G,18.9
Barnardius zonarius,5.2,0.719,137.0,2.137,MW,137.0
Bombycilla garrulus,13.2,1.12,72.5,1.86,G,72.5
Bonasa umbellus,3.7,0.568,644.0,2.809,MW,644.0
Botaurus lentigosus,4.5,0.655,600.0,2.778,MW,600.0
Bubo virginianus,3.6,0.557,1450.0,3.161,MW,1450.0
Buteo buteo,3.7,0.57,1012.0,3.005,MW,1012.0
Buteo lineatus,3.2,0.506,658.0,2.818,MW,658.0
Cacactua tenuirostris,5.8,0.76,549.9,2.74,MW,549.9
Cacatua galerita,4.4,0.644,776.1,2.89,MW,776.1
Cacomantis variolosus,5.1,0.706,23.8,1.377,MW,23.8
Calidris canutus,6.8,0.831,130.0,2.114,MW,130.0
Callipepla gambelii,6.0,0.777,126.1,2.101,MW,126.1
Caprimulgus europeus,8.3,0.921,77.4,1.889,G,77.4
Cardinalis cardinalis,12.3,1.09,41.0,1.613,MW,41.0
Cardinalis sinuata,12.3,1.088,32.0,1.505,MW,32.0
Carduelis carduelis,21.1,1.325,16.5,1.217,G,16.5
Carduelis pinus,20.8,1.318,14.0,1.146,MW,14.0
Carduelis tristis,24.6,1.39,13.6,1.134,MW,13.6
Carpodacus cassinii,12.4,1.092,27.4,1.438,MW,27.4
Carpodacus erythrinus,16.6,1.22,21.6,1.334,G,21.6
Carpodacus mexicanus,15.2,1.182,20.4,1.31,MW,20.4
Casurarius bennetti,1.4,0.152,17600.0,4.246,MW,17600.0
Catharactus skua,4.9,0.69,970.0,2.987,MW,970.0
Centropus senegalensis,8.6,0.935,175.0,2.243,MW,175.0
Certhilauda erythrochlamys,15.1,1.179,27.3,1.436,MW,27.3
Chalcophaps inidica,6.4,0.806,124.0,2.093,MW,124.0
Charadius dubius,10.9,1.038,44.0,1.643,G,44.0
Chauna chavaria,2.6,0.419,2620.0,3.418,MW,2620.0
Chloris chloris,16.8,1.226,28.2,1.45,G,28.2
Chloropsis sonnerati,9.5,0.979,39.7,1.599,MW,39.7
Chlorostilbon mellisugus,50.0,1.699,2.9,0.462,MW,2.9
Chordeiles minor,6.1,0.787,72.0,1.857,MW,72.0
Cinclus mexicanus,9.2,0.962,50.2,1.701,MW,50.2
Coccothraustes coccothraustes,14.5,1.16,48.3,1.684,G,48.3
Coereba flaveola,21.5,1.332,10.0,1.0,MW,10.0
Coleus monedula,7.3,0.861,209.0,2.32,G,209.0
Colinus virginianus,5.7,0.759,194.0,2.288,MW,194.0
Colius castanotus,15.0,1.176,69.0,1.839,MW,69.0
Colius colius,5.0,0.703,35.1,1.545,MW,35.1
Colius striatus,4.6,0.665,51.0,1.708,MW,51.0
Columba leucomela,5.3,0.728,456.0,2.659,MW,456.0
Columba livia,4.5,0.654,368.0,2.566,G,368.0
Columba palumbus,4.0,0.604,493.0,2.693,G,493.0
Columba unicincta,5.4,0.732,318.0,2.502,MW,318.0
Contopus virens,18.5,1.267,13.9,1.143,MW,13.9
Copsychus saularis,6.9,0.84,33.5,1.525,MW,33.5
Cornus ruficollis,5.1,0.712,660.0,2.82,G,660.0
Corvus brachyrhynchos,8.5,0.931,384.8,2.585,MW,384.8
Corvus corax,4.6,0.661,1203.0,3.08,G,1203.0
Corvus corone cornix,6.4,0.807,518.0,2.714,G,518.0
Corvus frugilegus,6.7,0.827,390.0,2.591,G,390.0
Coturnix chinensis,8.2,0.914,44.9,1.652,MW,44.9
Coturnix coturnix,7.6,0.881,109.0,2.037,G,109.0
Coturnix japonica,8.5,0.93,115.0,2.061,MW,115.0
Coturnix pectoralis,6.6,0.821,95.8,1.981,MW,95.8
Crax alberti,2.4,0.371,2800.0,3.447,MW,2800.0
Crax daubentoni,2.6,0.409,2800.0,3.447,MW,2800.0
Crex crex,8.2,0.915,96.0,1.982,G,96.0
Cuculus canorus,7.5,0.876,111.6,2.048,G,111.6
Cyanocitta cristata,10.3,1.013,80.8,1.907,MW,80.8
Cygnus buccinator,2.3,0.362,8800.0,3.944,MW,8800.0
Dendragapus obscurus,4.4,0.642,1131.0,3.053,MW,1131.0
Dendrocopus major,8.9,0.95,117.0,2.068,G,117.0
Dendroica coronata,16.4,1.216,11.5,1.061,MW,11.5
Dendroica dominica,16.3,1.213,9.8,0.991,MW,9.8
Dendroica palmarum,15.8,1.199,9.8,0.991,MW,9.8
Dendroica pinus,14.9,1.174,12.0,1.079,MW,12.0
Diomedea chrysostoma,2.3,0.355,3753.0,3.574,MW,3753.0
Diomedea exulans,2.5,0.398,8130.0,3.91,MW,8130.0
Diomedea immutabilis,3.0,0.471,2522.0,3.402,MW,2522.0
