Species,N,Mg,Season,Time,QkJday,References,mass_g
Eudyptes cristatus,4,2330,W,N,504.5,"Gavrilov, 1977",2330
Eudyptes chrysolophus,4,3870,W,N,747.8,"Gavrilov, 1977",3870
Aptenodytes patagonica,3,11080,W,N,1899.2,"Gavrilov, 1977",11080
Aix sponsa,8,448,S,N,194.3,"Gavrilov, 1980abc,",448
Aix sponsa,8,448,S,D,221.5,"Gavrilov, 1985ab, 1997",448
Aix sponsa,8,468,W,N,205.6,"Gavrilov, 1981, 1997,",468
Aix sponsa,8,468,W,D,273.4,"Gavrilov, 1981, 1997",468
Anas penelope,4,723,S,N,244.1,"Gavrilov, 1980abc,",723
Anas penelope,4,718,W,N,260.4,"Gavrilov, 1980abc,",718
Anas platyrhynchos,12,1020,S,N,351.7,"Gavrilov, 1980abc,",1020
Anas platyrhynchos,12,1020,S,D,415.6,"Gavrilov, 1985ab, 1997",1020
Anas platyrhynchos,12,1132,W,N,435.4,"Gavrilov, 1981, 1997,",1132
Anas platyrhynchos,12,1132,W,D,566.9,"Gavrilov, 1981, 1997",1132
Anser anser,4,3250,S,N,937.9,"Gavrilov, Dolnik, 1985",3250
Falco tinnunculus,4,131,A,N,67.0,"Gavrilov, 1985ab",131
Accipiter nisus,6,135,S,N,82.1,"Gavrilov, Dolnik, 1985",135
Falco subbuteo,4,208,A,N,112.2,"Gavrilov, Dolnik, 1985",208
Pernis apivorus,2,652,S,N,202.2,"Gavrilov, Dolnik, 1985",652
Excalfactoria chinensis,6,44,S,N,35.15,"Gavrilov, 1985ab",44
Excalfactoria chinensis,6,44,S,D,35.56,"Gavrilov, 1985ab",44
Excalfactoria chinensis,6,41,W,N,50.7,"Gavrilov, 1981",41
Excalfactoria chinensis,6,41,W,D,60.3,"Gavrilov, 1981",41
Coturnix coturnix,4,97,S,N,77.0,"Gavrilov, 1980abc,",97
Coturnix coturnix,4,97,S,D,83.2,"Gavrilov, 1985ab, 1997",97
Coturnix coturnix,4,109,W,N,71.6,"Gavrilov, 1981, 1997,",109
Coturnix coturnix,4,109,W,D,85.4,"Gavrilov, 1981, 1997",109
Perdix perdix,5,483,S,N,207.3,"Gavrilov, 1980abc,",483
Perdix perdix,5,483,S,D,225.9,"Gavrilov, 1985ab, 1997",483
Perdix perdix,5,501,W,N,186.3,"Gavrilov, 1981, 1997,",501
Perdix perdix,5,501,W,D,235.3,"Gavrilov, 1981, 1997",501
Lagopus lagopus,6,524,S,N,268.8,"Gavrilov, 1980abc,",524
Lagopus lagopus,6,524,S,D,306.4,"Gavrilov, 1985ab, 1997",524
Lagopus lagopus,6,567,W,N,248.3,"Gavrilov, 1981, 1997,",567
Lagppus lagopus,6,567,W,D,328.7,"Gavrilov, 1981, 1997",567
Alectoris graeca,4,620,S,N,246.6,"Gavrilov, 1980abc,",620
Alectoris graeca,4,633,W,N,219.0,"Gavrilov, 1980abc,",633
Tetrao urogallus ♀,2,3900,S,N,1030.0,"Gavrilov, 1980abc,",3900
Tetrao urogallus ♀,2,4010,W,N,1021.6,"Gavrilov, 1980abc,",4010
Crex crex,4,96,S,N,68.2,"Gavrilov, Dolnik, 1985",96
Fulica atra,3,412,S,N,176.3,"Gavrilov, 1980abc,",412
Fulica atra,3,436,W,N,204.3,"Gavrilov, 1980abc,",436
Charadrius dubius,4,36,S,N,36.0,"Gavrilov, 1980abc,",36
Charadius dubius,4,44,W,N,41.5,"Gavrilov, 1980abc,",44
Larus ridibundus,5,285,S,N,173.3,"Gavrilov, 1980abc,",285
Larua ridibundus,5,285,S,D,194.1,"Gavrilov, 1985ab, 1997",285
Larus ridibundus,5,306,W,N,160.8,"Gavrilov, 1981, 1997,",306
Larus ridibundus,5,306,W,D,193.0,"Gavrilov, 1981, 1997",306
Larus canus,3,428,S,N,201.0,"Gavrilov, 1980abc,",428
Larus canus,3,428,S,D,215.0,"Gavrilov, 1985ab, 1997",428
Larus canus,3,431,W,N,194.3,"Gavrilov, 1981, 1997,",431
Larus canus,3,431,W,D,251.2,"Gavrilov, 1981, 1997",431
Scolopax rusticola,4,430,S,N,186.7,"Gavrilov, 1981",430
Streptopelia senegalensis,3,108,S,N,73.3,"Gavrilov, Dolnik, 1985",108
Streptopelia turtur,4,154,A,N,98.4,"Gavrilov, Dolnik, 1985",154
Columba livia,6,353,W,N,160.4,"Gavrilov, 1981",353
Columba livia,6,353,W,D,178.8,"Gavrilov, 1981",353
Columba livia,6,368,S,N,143.2,"Gavrilov, 1985ab",368
Columba livia,6,368,S,D,154.4,"Gavrilov, 1985ab",368
Columba palumbus,4,493,A,N,171.3,"Gavrilov, Dolnik, 1985",493
Melopsittacus undulatus,18,25.2,S,N,26.0,"Gavrilov, 1980abc,",25.2
Melopsittacus undulatus,18,25.2,S,D,28.0,"Gavrilov, 1985ab, 1997",25.2
Melopsittacus undulatus,18,33.6,W,N,28.5,"Gavrilov, 1981, 1997,",33.6
Melopsittacus undulatus,18,33.6,W,D,31.4,"Gavrilov, 1981, 1997",33.6
Agapornis roseicollis,6,48.1,S,N,40.2,"Gavrilov, 1980abc,",48.1
Agapornis roseicollis,6,48.1,S,D,44.0,"Gavrilov, 1985ab, 1997",48.1
Agapornis roseicollis,6,48.4,W,N,40.2,"Gavrilov, 1981, 1997,",48.4
Agapornis roseicollis,6,48.4,W,D,53.2,"Gavrilov, 1981, 1997",48.4
Agapornis fisheri,3,56.7,W,N,45.6,"Gavrilov, Dolnik, 1985",56.7
Nymphicus hollandicus,5,85.6,S,N,59.5,"Gavrilov, 1980abc,",85.6
Nymphicus hollandicus,5,85.6,S,D,65.4,"Gavrilov, 1985ab, 1997",85.6
Nymphicus hollandicus,5,94.3,W,N,74.5,"Gavrilov, 1981, 1997,",94.3
Nymphicus hollandicus,5,94.3,W,D,88.3,"Gavrilov, 1981, 1997",94.3
Cuculus canorus,4,111.6,S,N,72.4,"Gavrilov, Dolnik, 1985",111.6
Asio otus,6,236,S,N,113.0,"Gavrilov, Dolnik, 1985",236
Caprimulgus europeus,3,77.4,S,N,55.7,"Gavrilov, Dolnik, 1985",77.4
Apus apus,6,44.9,S,N,37.7,"Gavrilov, 1985ab",44.9
Alcedo atthis,4,34.3,S,N,32.7,"Gavrilov, Dolnik, 1985",34.3
Yynx torquilla,6,31.8,S,N,31.0,"Gavrilov, Dolnik, 1985",31.8
Dendrocopus major,7,98.0,S,N,77.5,"Gavrilov, 1980abc,",98.0
Dendrocopus major,7,117.0,W,N,90.0,"Gavrilov, 1980abc,",117.0
Regulus regulus,22,5.5,S,N,12.6,"Gavrilov, 1997, 1999ab",5.5
Regulus regulus,22,5.5,W,N,15.9,"Gavrilov, 1997, 1999ab",5.5
