row_num,species,U,orig_units,qou,qWkg,q25Wkg,TC,Mpg_pg,order,source,comments,mass_g
1,Anabaena flos-aquae,Chl,μmol O (mg 2 hr−1 DM)−1 hr−1,2.4,1.3,1.30,25,22,Nostocales,"Rubin et al. 1977 [estimated from images at UTEX Culture Collection (http://www.zo.utexas.edu/ research/utex/), diam 3.5 μm, filamentous]",,2.1999999999999998e-11
2,Anabaena variabilis,D,μl O (mg 2 DM)−1 hr−1,1.7,2.8,1.06,39,14,Nostocales,"Kratz & Myers 1955 [estimated from image of ATCC 29413, diam 3 μm, filamentous, displayed at http://www.ibvf.cartuja.csic .es/Cultivos/Seccion_IV.ht m (Instituto de Bioquímica Vegetal y Fotosíntesis, Cevilla, Spain)]",Cells stored in darkness for 24 hr before measurements,1.4e-11
3,Anabaena variabilis,D,μl O (mg 2,8.4,14,5.31,39,14,Nostocales,"Kratz & Myers 1955 [estimated from image of ATCC 29413, diam 3 μm, filamentous, displayed at http://www.ibvf.cartuja.csic .es/Cultivos/Seccion_IV.ht m (Instituto de Bioquímica Vegetal y Fotosíntesis, Cevilla, Spain)]",growing cells (log k/day= 0.55) 10 harvested and prepared for dark respiration measurements in less than 35 min,1.4e-11
4,Anabaena variabilis,Pr,μmol O (95 mg 2 protein)−1 hr−1 DM)−1 hr−1,93,18,19.29,24,14,Nostocales,"Haury & Spiller 1981 [estimated from image of ATCC 29413, diam 3 μm, filamentous, displayed at http://www.ibvf.cartuja.csic .es/Cultivos/Seccion_IV.ht m (Instituto de Bioquímica Vegetal y Fotosíntesis, Cevilla, Spain)]",protein/packed cell volume=95 mg/ml Chl/packed cell volume=3.4 mg/ml; carbon-starved; respiration is characterized as “high” compared to the strain studied by Kratz & Myers (1955),1.4e-11
5,Anacystis nidulans PCC (Synechococcus,D,μl O (mg 2 DM)−1 hr−1,0.3,0.5,0.50,25,4,Chroococcales,Kratz & Myers 1955 [estimated from linear dimensions 1.6×2.2 μm assuming cylindrical form],C/DM=0.483 H/DM=0.067 N/DM=0.094 ash/DM=0.044 [when grown at log k/day=1.0]; 10 cells stored in darkness for 24 hr before measurements,4e-12
6,Anacystis nidulans PCC (Synechococcus,D,μl O (mg 2 DM)−1 hr−1,1.9,3.2,1.21,39,4,Chroococcales,Kratz & Myers 1955 [estimated from linear dimensions 1.6×2.2 μm assuming cylindrical form],C/DM=0.483 H/DM=0.067 N/DM=0.094 ash/DM=0.044 [when grown at log k/day=1.0]; 10 cells stored in darkness for 24 hr before measurements,4e-12
7,Anacystis nidulans PCC (Synechococcus,D,μl O (mg 2 DM)−1 hr−1,1.6,2.7,2.70,25,4,Chroococcales,Kratz & Myers 1955 [estimated from linear dimensions 1.6×2.2 μm assuming cylindrical form],C/DM=0.483 H/DM=0.067 N/DM=0.094 ash/DM=0.044 [when grown at log k/day=1.0]; 10 growing cells (log k/day= 0.3) 10 harvested and prepared for dark respiration measurements in less than 35 min,4e-12
8,Anacystis nidulans PCC (Synechococcus,D,μl O (mg 2 DM)−1 hr−1,4.7,7.8,2.96,39,4,Chroococcales,Kratz & Myers 1955 [estimated from linear dimensions 1.6×2.2 μm assuming cylindrical form],C/DM=0.483 H/DM=0.067 N/DM=0.094 ash/DM=0.044 [when grown at log k/day=1.0]; 10 growing cells (log k/day= 0.55) 10 harvested and prepared for dark respiration measurements in less than 35 min,4e-12
9,Anacystis nidulans PCC (Synechococcus,D,μl O (mg 2 DM)−1 hr−1,7.5,12.5,4.74,39,4,Chroococcales,Kratz & Myers 1955 [estimated from linear dimensions 1.6×2.2 μm assuming cylindrical form],C/DM=0.483 H/DM=0.067 N/DM=0.094 ash/DM=0.044 [when grown at log k/day=1.0]; 10 growing cells (log k/day= 2.50) 10 harvested and prepared for dark respiration measurements in less than 35 min,4e-12
10,Anacystis nidulans PCC (Synechococcus,D,μl O (mg 2 Chl)−1,2.9,4.8,4.80,25,4,Chroococcales,Kratz & Myers 1955 [estimated from linear dimensions 1.6×2.2 μm assuming cylindrical form],C/DM=0.483 H/DM=0.067 N/DM=0.094 ash/DM=0.044 [when grown at log k/day=1.0]; 10 cells stored in darkness for 24 hr before measurements,4e-12
