Species,TL_cm,SL_cm,Weight_g,a_TL,a_SL
Anchoa compressa,11.5,9.8,8.5,0.0056,0.009
Anchoa curta,5.1,4.3,0.8,0.006,0.0101
Anchoa exigua,5.1,4.3,0.8,0.006,0.0101
Allosmerus elongatus,10.7,9.2,4.1,0.0033,0.0053
Spirinchus lanceolatus,16.4,13.4,21.6,0.0049,0.009
Bathophilus flemingi,6.9,5.6,0.8,0.0024,0.0046
Hyporhamphus gilli,17.4,15.0,15.1,0.0029,0.0045
Anotopterus pharaoh,28.8,27.6,8.0,0.0003,0.0004
Ceratoscopelus townsendi,7.2,6.4,2.6,0.007,0.0099
Diaphus fulgens,5.2,4.9,1.6,0.0114,0.0136
Diaphus theta,6.0,5.6,1.9,0.0088,0.0108
Myctophum aurolaternatum,6.0,5.3,1.4,0.0065,0.0094
Synodus lacertinus,5.2,5.0,0.7,0.005,0.0056
Synodus poeyi,18.8,16.1,51.4,0.0077,0.0123
Tarletonbeania crenularis,5.8,5.2,1.4,0.0072,0.01
Tarletonbeania taylori,6.3,5.7,1.9,0.0076,0.0103
Anarchias leucurus,10.0,10.0,1.0,0.001,0.001
Conger marginatus,7.9,7.9,0.6,0.0012,0.0012
Echidna nocturna,35.4,35.4,81.6,0.0018,0.0018
Gymnothorax cribroris,26.4,26.4,37.4,0.002,0.002
Gymnothorax moluccensis,30.6,30.6,39.9,0.0014,0.0014
Gymnothorax Saxicola,29.3,29.3,37.9,0.0015,0.0015
Gymnothorax steindachneri,44.6,44.6,295.2,0.0033,0.0033
Hoplunnis pacifica,44.8,44.8,9.0,0.0001,0.0001
Moringua ferruginea,38.2,38.2,10.2,0.0002,0.0002
Moringua javanica,39.1,39.1,14.4,0.0002,0.0002
Muraena lentiginose,13.7,13.7,3.3,0.0013,0.0013
Myrichthys xysturus,41.2,41.2,43.7,0.0006,0.0006
Myrophis vafer,21.3,21.3,5.3,0.0005,0.0005
Neoconger mucronatus,16.5,16.5,5.1,0.0011,0.0011
Quassiremus evionthas,38.1,38.1,39.4,0.0007,0.0007
Uropterygius marmoratus,22.8,22.8,12.5,0.0011,0.0011
Floridichthys carpio,4.4,3.6,1.8,0.0211,0.0386
Fundulus majalis,9.8,8.2,10.7,0.0114,0.0194
Coryphaenoides filifer,18.0,12.8,10.3,0.0018,0.0049
Melamphaes lugubris,6.9,5.8,4.0,0.0122,0.0205
Myripristis tiki,15.9,12.3,90.1,0.0224,0.0484
Cyttus novaezealandiae,27.7,23.0,357.4,0.0168,0.0294
Ancylopsetta quadrocellata,20.1,16.6,90.6,0.0112,0.0198
Gastropsetta frontalis,14.0,11.7,28.7,0.0105,0.0179
Psettichthys melanostictus,27.2,22.5,233.8,0.0116,0.0205
Cynoglossus semifasciatus,11.8,10.5,12.8,0.0078,0.0111
Trinectes xanthurus,10.8,8.3,17.4,0.0138,0.0304
Acanthistius fuscus,7.3,5.9,6.9,0.0177,0.0336
Apogon dammermani,5.0,3.7,1.5,0.012,0.0296
Apogon erythrinus,4.9,3.9,1.9,0.0161,0.032
Aulacocephalus temminckii,21.6,18.0,173.8,0.0172,0.0298
Centropristis philadelphica,14.6,11.5,38.6,0.0124,0.0254
Kuhlia nutabunda,10.0,7.5,10.1,0.0101,0.0239
Paralabrax albomaculatus,16.1,13.2,41.5,0.0099,0.018
Pseudochromis ransonneti,5.1,4.2,1.5,0.0113,0.0202
Serranus phoebe,14.0,11.1,37.5,0.0137,0.0274
Trachypoma macracanthus,17.9,14.3,120.9,0.0211,0.0413
Parupeneus orientalis,25.6,20.2,216.6,0.0129,0.0263
Atherinella panamensis,8.8,7.3,4.3,0.0063,0.0111
Membras martinica,7.5,6.3,2.3,0.0055,0.0092
Menidia beryllina,5.3,4.9,0.9,0.006,0.0076
Icichthys lockingtoni,17.5,15.8,41.9,0.0078,0.0106
Remora brachyptera,15.7,13.6,24.5,0.0063,0.0097
Conodon macrops,27.5,22.8,241.1,0.0116,0.0203
Archosargus pourtalesii,23.4,19.0,295.5,0.0231,0.0431
Bairdiella ensifera,20.0,16.5,100.6,0.0126,0.0224
Odontoscion eurymesops,16.1,13.2,69.7,0.0167,0.0303
Amphistichus koelzi,23.5,18.5,188.6,0.0145,0.0298
Brachyistius frenatus,12.4,10.0,25.0,0.0131,0.025
Hyperprosopon ellipticum,9.0,7.1,9.2,0.0126,0.0257
Micrometrus aurora,8.1,6.2,5.5,0.0103,0.0231
Micrometrus minimus,5.0,3.3,1.4,0.0112,0.039
Azurina eupalama,3.5,2.8,0.3,0.007,0.0137
Hypsypops rubicundus,20.6,15.9,193.2,0.0221,0.0481
Microspathodon bairdii,21.5,16.3,255.0,0.0257,0.0589
Parma microlepis,19.1,17.2,224.7,0.0322,0.0442
Bodianus diplotaenia,21.2,17.7,132.0,0.0139,0.0238
Choerodon oligacanthus,15.7,13.3,61.9,0.016,0.0263
Halichoeres kneri,8.1,6.8,5.5,0.0103,0.0175
Oxyjulis californica,24.3,20.5,208.8,0.0146,0.0242
Pseudolabrus japonicus,13.5,11.4,40.2,0.0163,0.0271
Thalassoma ballieui,16.6,13.9,66.1,0.0145,0.0246
Chaetodon litus,13.4,11.5,63.6,0.0264,0.0418
Medialuna californiensis,25.8,21.5,227.4,0.0132,0.0229
Microcanthus strigatus,12.9,10.5,45.9,0.0214,0.0397
Proteracanthus sarissophorus,19.5,15.7,141.1,0.019,0.0365
Pterois lunulate,15.1,12.3,45.9,0.0133,0.0247
Scorpaena orgila,14.0,11.3,50.7,0.0185,0.0351
Scorpaena pascuensis,4.6,3.6,1.6,0.0164,0.0343
Scorpaenodes englerti,23.6,19.4,291.2,0.0222,0.0399
Sebastes helvomaculatus,28.2,19.4,273.5,0.0122,0.0375
Sebastes itinus,8.5,6.9,8.2,0.0134,0.025
Sebastes nivosus,21.0,17.8,206.5,0.0223,0.0366
Sebastes polyspinis,23.8,19.4,159.0,0.0118,0.0218
Sebastes Saxicola,12.3,9.6,22.4,0.012,0.0253
Sebastes zacentrus,27.9,23.4,304.4,0.014,0.0238
Oxylebius pictus,14.5,12.0,30.1,0.0099,0.0174
Zaniolepis frenata,14.5,12.9,18.7,0.0061,0.0087
Artediellus dydymovi,8.4,6.8,6.3,0.0106,0.02
Artediellus miacanthus,6.6,5.3,4.4,0.0153,0.0296
Artediellus pacificus,7.9,6.3,7.1,0.0144,0.0284
Artedius fenestralis,13.7,11.3,39.2,0.0152,0.0272
Artedius harringtoni,6.5,5.2,3.1,0.0113,0.022
Artedius lateralis,9.0,7.4,8.1,0.0111,0.02
Ascelichthys rhodorus,6.9,5.6,5.3,0.0161,0.0302
Asemichthys taylori,6.1,5.1,2.1,0.0093,0.0158
Blepsias bilobus,16.9,13.6,60.5,0.0125,0.0241
Chitonotus pugetensis,12.3,10.1,16.7,0.009,0.0162
Clinocottus embryum,4.8,3.7,1.3,0.0118,0.0257
Clinocottus recalvus,5.4,4.4,2.9,0.0184,0.034
Cottus asper,12.9,10.8,22.6,0.0105,0.0179
Enophrys bison,14.4,12.0,61.8,0.0207,0.0358
Enophrys diceraus,12.1,9.7,31.7,0.0179,0.0347
Enophrys lucasi,13.3,10.8,43.4,0.0184,0.0345
Enophrys taurine,11.8,10.4,37.2,0.0226,0.0331
Eurymen gyrinus,8.4,6.7,5.8,0.0098,0.0193
Hemilepidotus gilberti,21.2,17.2,97.1,0.0102,0.0191
Hemilepidotus spinosus,12.1,10.2,20.6,0.0116,0.0194
Icelinus borealis,10.3,8.5,10.3,0.0094,0.0168
Icelinus burchami,8.2,6.3,5.5,0.01,0.022
Icelinus filamentosus,6.2,5.3,2.3,0.0097,0.0154
Icelinus quadriseriatus,7.1,6.0,2.3,0.0064,0.0106
Icelinus tenuis,8.9,7.6,5.1,0.0072,0.0116
Icelus spatula,13.2,11.2,24.9,0.0108,0.0177
Jordania zonope,6.1,5.3,1.5,0.0066,0.0101
Malacocottus gibber,4.6,3.7,1.9,0.0195,0.0375
Malacocottus kincaidi,9.4,7.6,14.1,0.017,0.0321
Microcottus sellaris,11.2,9.6,23.6,0.0168,0.0267
Myoxocephalus niger,10.9,9.2,28.0,0.0216,0.036
Myoxocephalus octodecemspinosus,24.6,20.4,133.2,0.0089,0.0157
Myoxocephalus scorpioides,11.2,9.3,15.4,0.011,0.0191
Nautichthys oculofasciatus,11.4,9.2,11.3,0.0076,0.0145
Oligocottus rimensis,4.1,3.5,0.6,0.0087,0.014
Oligocottus rubellio,6.5,5.1,3.8,0.0138,0.0286
Orthonopias triacis,5.6,4.4,1.6,0.0091,0.0188
Paricelinus hopliticus,13.6,12.4,15.6,0.0062,0.0082
Phallocottus obtusus,4.9,4.3,1.0,0.0085,0.0126
Porocottus minutus,6.5,5.4,5.0,0.0182,0.0318
Psychrolutes paradoxus,7.6,3.0,0.9,0.0021,0.0333
Radulinus asprellus,9.3,7.8,3.4,0.0042,0.0072
Radulinus boleoides,17.4,15.5,21.2,0.004,0.0057
Rhamphocottus richardsonii,7.7,6.5,17.6,0.0386,0.0641
Bellator xenisma,8.1,7.7,6.3,0.0119,0.0138
Lepidotrigla abyssalis,14.8,12.0,28.9,0.0089,0.0167
Prionotus birostratus,15.1,12.7,32.7,0.0095,0.016
Prionotus horrens,8.7,6.9,11.4,0.0173,0.0347
Prionotus rubio,13.9,11.4,32.7,0.0122,0.0221
Prionotus scitulus,5.4,4.4,1.1,0.007,0.0129
Prionotus stearnsi,10.8,8.6,12.3,0.0098,0.0193
Agonomalus jordani,15.5,12.8,23.7,0.0064,0.0113
Agonomalus mozinoi,6.9,5.4,2.3,0.007,0.0146
Agonomalus proboscidalis,15.2,12.8,36.3,0.0103,0.0173
