species,log10_mean_mass_g,mean_mass_g
Squalus acanthias,3.00,1000.0
Hydrolagus colliei,2.45,281.8
Raja binoculata,2.50,316.2
Psettichthys melanostictus,2.20,158.5
Raja rhina,2.35,223.9
Sebastes ruberrimus,2.35,223.9
Pleuronichthys coenosus,2.10,125.9
Leptocottus armatus,2.05,112.2
Myoxocephalus polyacanthocephalus,2.00,100.0
Merluccius productus,2.00,100.0
Citharichthys sordidus,1.95,89.1
Lepidopsetta bilineata,1.90,79.4
Clupea pallasii,1.85,70.8
Sebastes maliger,1.90,79.4
Microstomus pacificus,1.90,79.4
Parophrys vetulus,1.85,70.8
Glyptocephalus zachirus,1.85,70.8
Porichthys notatus,1.80,63.1
Theragra chalcogramma,1.80,63.1
Lyopsetta exilis,1.75,56.2
Lycodes pacificus,1.70,50.1
Podothecus accipenserinus,1.65,44.7
Xeneretmus triacanthus,1.55,35.5
Microgadus proximus,1.50,31.6
Xeneretmus latifrons,1.50,31.6
Radulinus asprellus,1.35,22.4
Citharichthys stigmaeus,1.20,15.8
