Order,Family,Species,n,MeanMass_g,SD_g,Min_g,Max_g
Scorpaeniformes,Cottidae,Chitonotus pugetensis,20,20.5,10.4,4.3,41.5
Pleuronectiformes,Paralichthyidae,Citharichthys sordidus,18,139.3,99.8,9.6,339.4
Pleuronectiformes,Paralichthyidae,Citharichthys stigmaeus,10,4.9,3.0,2.5,12.9
Clupeiformes,Clupeidae,Clupea pallasii,16,66.9,53.6,22.2,233.1
Perciformes,Embiotocidae,Cymatogaster aggregata,26,19.5,24.0,4.1,106.7
Gadiformes,Gadidae,Gadus macrocephalus,4,2567,2521,290.7,5328.7
Pleuronectiformes,Pleuronectidae,Glyptocephalus zachirus,15,136.5,225.9,13.7,941.7
Scorpaeniformes,Hexagrammidae,Hexagrammos stelleri,8,70.2,51.0,20.0,186.9
Chimaeriformes,Chimaeridae,Hydrolagus colliei,32,519.1,413.5,3.2,1358
Pleuronectiformes,Pleuronectidae,Lepidopsetta bilineata,20,261.2,136.0,28.7,555.2
Scorpaeniformes,Cottidae,Leptocottus armatus,13,196.1,136.8,68.5,469.9
Perciformes,Zoarcidae,Lycodes pacificus,10,51.3,51.1,12.9,164.9
Pleuronectiformes,Pleuronectidae,Lyopsetta exilis,11,37.6,16.3,14.4,64.4
Gadiformes,Merlucciidae,Merluccius productus,23,317.1,408.3,7.3,1469
Gadiformes,Gadidae,Microgadus proximus,18,18.1,17.1,2.1,68.9
Pleuronectiformes,Pleuronectidae,Microstomus pacificus,9,245.6,191.9,24.5,510.2
Scorpaeniformes,Cottidae,Myoxocephalus polyacanthocephalus,8,169.3,169.8,7.0,548.1
Scorpaeniformes,Hemitripteridae,Nautichthys oculofasciatus,4,54.8,16.1,30.9,65.8
Pleuronectiformes,Pleuronectidae,Parophrys vetulus,34,149.9,146.6,3.7,508.7
Pleuronectiformes,Pleuronectidae,Pleuronichthys coenosus,12,159.8,62.0,43.8,267.8
Scorpaeniformes,Agonidae,Podothecus accipenserinus,14,27.8,14.2,4.9,57.0
Batrachoidiformes,Batrachoididae,Porichthys notatus,14,71.4,58.4,19.1,239.3
Pleuronectiformes,Pleuronectidae,Psettichthys melanostictus,7,216.5,136.5,94.8,450.8
Rajiformes,Rajidae,Raja binoculata,9,810.1,1080,25.3,3227
Rajiformes,Rajidae,Raja rhina,19,596.3,428.8,51.4,1355
Perciformes,Embiotocidae,Rhacochilus vacca,10,28.8,26.7,12.8,90.1
Scorpaeniformes,Cottidae,Scorpaenichthys marmoratus,4,9206,1448,7991,10861
Scorpaeniformes,Scorpaenidae,Sebastes auriculatus,17,116.0,222.1,8.5,946.1
Scorpaeniformes,Scorpaenidae,Sebastes maliger,17,366.1,227.5,6.8,844.8
Scorpaeniformes,Scorpaenidae,Sebastes proriger,4,177.7,77.8,108.1,277.0
Scorpaeniformes,Scorpaenidae,Sebastes ruberrimus,4,1692,1692,353.7,4006
Squaliformes,Squalidae,Squalus suckleyi,23,1263,805.7,46.1,2327
Gadiformes,Gadidae,Theragra chalcogramma,16,215.7,244.7,3.7,761.0
Scorpaeniformes,Agonidae,Xeneretmus latifrons,7,11.7,2.3,8.5,14.6
Scorpaeniformes,Agonidae,Xeneretmus triacanthus,4,17.4,3.4,13.4,20.5
