Species,Endo.vs..Ecto,Mass..kg.,Dive.duration..min.,Maximum.dive.duration..min.,Temperature,Remarks,Literature.source,selected,Treenames
Acrochordus arafurae,Ectotherm,2.000000000000000000,5.7,153.7,26,,"Pratt KL, Campbell HA, Watts ME, and Franklin CE. 2010. Environmental and ecological factors influencing dive behaviour in the freshwater snake Acrochordus arafurae: a field-based telemetric study. Marine and Freshwater Research 61:560-567.",1,Acrochordus_arafurae
Acrochordus granulatus,Ectotherm,0.326000000000000000,48.1,116.9,26.1,,"Heatwole, H. & R.S. Seymour (1975) Diving physiology. Chapter 15, p. 289-327. In: W. A. Dunson (ed.) The Biology of Sea Snakes. University Park Press, Baltimore. 530pp.",1,Acrochordus_granulatus
Acrochordus javanicus,Ectotherm,0.994500000000000000,22.5,32,21,"day, resting","Pough FH. 1973. Heart rate, breathing and voluntary diving of the elephant trunk snake, Acrochordus javanicus. Comp. Biochem. Physiol. 44(A), 183-189.",1,Acrochordus_javanicus
Aechmophorus occidentalis,Endotherm,0.900000000000000000,0.627,1.183333333,38.5,"temperature value from: Clarke A, and Rothery P. 2008. Scaling of body temperature in mammals and birds. Functional Ecology 22:58-67. ","Forbes, S.L. & S.G. Sealy (1988) Diving behaviour of male and female western grebes. Can. J. Zool. 66: 2695-2498.",1,Aechmophorus_occidentalis
Aipysurus duboisii,Ectotherm,0.355000000000000000,16.31,45.76,26.1,,"Heatwole, H. & R.S. Seymour (1975) Diving physiology. Chapter 15, p. 289-327. In: W. A. Dunson (ed.) The Biology of Sea Snakes. University Park Press, Baltimore. 530pp.",1,Aipysurus_duboisii
Aipysurus laevis,Ectotherm,0.533000000000000000,53.8,70,20,,"Heatwole, H. 1975. Voluntary submergence times of marine snakes. Mar. Biol. 32: 205-213.",1,Aipysurus_laevis
Aligator mississipiensis,Ectotherm,2.170000000000000000,3.6,23,23,Captivity,"Eme, J., J. Gwalthney, J.M. Blank, T. Owerkowicz, G. Barron & J.W. Hicks (2009) Surgical removal of right-to-left cardiac shunt in the American alligator (Alligator mississippiensis) causes ventricular enlargement but does not alter apnoea or metabolism during diving. J. Exp. Biol. 212: 3553-3563.",1,Aligator_mississipiensis
Alle alle,Endotherm,0.149000000000000000,0.868,1.5,40.1,"temperature value from: Gabrielsen, G. W., Taylor, J. R., Konarzewski, M., & Mehlum, F. (1991). Field and laboratory metabolism and thermoregulation in dovekies (Alle alle). The Auk, 108(1), 71-78.","Harding, A.M.A., C. Egevang, W. Walkusz, F. Merkel, S. Blanc & D. GrÇmillet (2009a) Estimating prey capture rates of a planktivorous seabird, the little auk (Alle alle), using diet, diving behaviour, and energy consumption. Polar Biol. 32: 785-796.",1,Alle_alle
Amblyrhynchus cristatus,Ectotherm,1.006000000000000000,NA,50,25.5,,"Bartholomew GA, and Lasiewski RC. 1965. Heating and cooling rates, heart rate and simulated diving in the Galapagos marine iguana. Comparative Biochemistry and Physiology 16:573-582.",1,Amblyrhynchus_cristatus
Anhinga melanogaster,Endotherm,1.400000000000000000,0.745,1.8,40.9,temperature taken to be similar to that for Anhinga anhinga,"Ryan, P. (2007) Diving in shallow water: the foraging ecology of darters (Aves: Anhingidae). J. Avian Biol. 38: 507-514.",1,Anhinga_melanogaster
