"taxon","kingdom","phylum","class","order","family","taxon_provided","species_changed","taxonomy_source","genus","species","gbif_confidence","gbif_status","gbif_family","gbif_order","gbif_usageKey"
"Acanthosepion_pharaonis","Animalia","Mollusca","Cephalopoda","Sepiida","Sepiidae","Acanthosepion pharaonis",FALSE,"GBIF","Acanthosepion","Acanthosepion pharaonis",99,"ACCEPTED","Sepiidae","Sepiida","12186722"
"Acetes_americanus","Animalia","Arthropoda","Malacostraca","Decapoda","Acetidae","Acetes americanus",FALSE,"GBIF","Acetes","Acetes americanus",99,"ACCEPTED","Acetidae","Decapoda","2225891"
"Aedes_aegypti","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Aedes aegypti",FALSE,"GBIF","Aedes","Aedes aegypti",99,"ACCEPTED","Culicidae","Diptera","1651891"
"Afrotyphlops_fornasinii","Animalia","Chordata","Squamata","Squamata","Typhlopidae","Afrotyphlops fornasinii",FALSE,"GBIF","Afrotyphlops","Afrotyphlops fornasinii",99,"ACCEPTED","Typhlopidae",NA,"7690442"
"Alpheus_normanni","Animalia","Arthropoda","Malacostraca","Decapoda","Alpheidae","Alpheus normanni",FALSE,"GBIF","Alpheus","Alpheus normanni",99,"ACCEPTED","Alpheidae","Decapoda","2226159"
"Amauropsis_rossiana","Animalia","Mollusca","Gastropoda","Littorinimorpha","Naticidae","Amauropsis rossiana",FALSE,"GBIF","Amauropsis","Amauropsis rossiana",99,"ACCEPTED","Naticidae","Littorinimorpha","5725459"
"Ampelisca_richardsoni","Animalia","Arthropoda","Malacostraca","Amphipoda","Ampeliscidae","Ampelisca richardsoni",FALSE,"GBIF","Ampelisca","Ampelisca richardsoni",99,"ACCEPTED","Ampeliscidae","Amphipoda","2219533"
"Anocha_lyolepis","Animalia","Arthropoda","Insecta","Diptera","Cecidomyiidae","Anocha lyolepis",FALSE,NA,"Anocha",NA,94,"ACCEPTED","Cecidomyiidae","Diptera","1599168"
"Anonyx_nugax","Animalia","Arthropoda","Malacostraca","Amphipoda","Uristidae","Anonyx nugax",FALSE,"GBIF","Anonyx","Anonyx nugax",99,"ACCEPTED","Uristidae","Amphipoda","5177932"
"Anonyx_sarsi","Animalia","Arthropoda","Malacostraca","Amphipoda","Uristidae","Anonyx sarsi",FALSE,"GBIF","Anonyx","Anonyx sarsi",99,"ACCEPTED","Uristidae","Amphipoda","5177937"
"Apocorophium_acutum","Animalia","Arthropoda","Malacostraca","Amphipoda","Corophiidae","Apocorophium acutum",FALSE,"GBIF","Apocorophium","Apocorophium acutum",99,"ACCEPTED","Corophiidae","Amphipoda","2217363"
"Aristichthys_nobilis","Animalia","Chordata",NA,"Cypriniformes","Cyprinidae","Aristichthys nobilis",TRUE,"GBIF","Hypophthalmichthys","Hypophthalmichthys nobilis",98,"SYNONYM","Cyprinidae","Cypriniformes","2362489"
"Asterias_forbesi","Animalia","Echinodermata","Asteroidea","Forcipulatida","Asteriidae","Asterias forbesi",FALSE,"GBIF","Asterias","Asterias forbesi",99,"ACCEPTED","Asteriidae","Forcipulatida","5187514"
"Astyris_lunata","Animalia","Mollusca","Gastropoda","Neogastropoda","Columbellidae","Astyris lunata",FALSE,"GBIF","Astyris","Astyris lunata",99,"ACCEPTED","Columbellidae","Neogastropoda","2305739"
"Baseodiscus_antarcticus","Animalia","Nemertea","Pilidiophora","Heteronemertea","Valenciniidae","Baseodiscus antarcticus",FALSE,"GBIF","Baseodiscus","Baseodiscus antarcticus",99,"ACCEPTED","Valenciniidae","Heteronemertea","2508197"
"Bemisia_tabaci","Animalia","Arthropoda","Insecta","Hemiptera","Aleyrodidae","Bemisia tabaci",FALSE,"GBIF","Bemisia","Bemisia tabaci",99,"ACCEPTED","Aleyrodidae","Hemiptera","2012126"
