"taxon","kingdom","phylum","class","order","family","taxon_provided","species_changed","taxonomy_source","genus","species","gbif_confidence","gbif_status","gbif_family","gbif_order","gbif_usageKey"
"Arthrodesmus_incus","Plantae","Charophyta","Conjugatophyceae","Desmidiales",NA,"Arthrodesmus incus",TRUE,"GBIF","Staurodesmus","Staurodesmus incus",97,"SYNONYM",NA,"Desmidiales","5273721"
"Arthrodesmus_octocornis","Plantae","Charophyta","Conjugatophyceae","Desmidiales",NA,"Arthrodesmus octocornis",TRUE,"GBIF","Staurodesmus","Staurodesmus octocornis",97,"SYNONYM",NA,"Desmidiales","5274715"
"Arthrodesmus_subulatus","Plantae","Charophyta","Conjugatophyceae","Desmidiales",NA,"Arthrodesmus subulatus",TRUE,"GBIF","Staurodesmus","Staurodesmus subulatus",98,"SYNONYM",NA,"Desmidiales","5273712"
"Ceriantheopsis_americanus","Animalia","Cnidaria","Anthozoa",NA,"Cerianthidae","Ceriantheopsis americanus",TRUE,"GBIF","Ceriantheopsis","Ceriantheopsis americana",95,"ACCEPTED","Cerianthidae",NA,"2258556"
"Crucigenia_quadrata","Plantae","Chlorophyta","Trebouxiophyceae",NA,NA,"Crucigenia quadrata",FALSE,"GBIF","Crucigenia","Crucigenia quadrata",99,"ACCEPTED",NA,NA,"2641026"
"Crucigenia_rectangularis","Plantae","Chlorophyta","Trebouxiophyceae",NA,NA,"Crucigenia rectangularis",FALSE,"GBIF","Crucigenia","Crucigenia rectangularis",97,"ACCEPTED",NA,NA,"7933432"
"Crucigenia_tetrapaedia","Plantae","Chlorophyta","Trebouxiophyceae",NA,NA,"Crucigenia tetrapaedia",TRUE,"GBIF","Crucigenia","Crucigenia tetrapedia",93,"ACCEPTED",NA,NA,"8342650"
"Cymbella_prostrata","Chromista","Ochrophyta","Bacillariophyceae",NA,NA,"Cymbella prostrata",TRUE,"GBIF","Monema","Monema prostratum",97,"SYNONYM",NA,NA,"8056447"
"Fragilaria_leptostauron","Chromista","Ochrophyta","Bacillariophyceae",NA,NA,"Fragilaria leptostauron",TRUE,"GBIF","Biblarium","Biblarium leptostauron",98,"SYNONYM",NA,NA,"3192323"
"Fragilariopsis_kerguelensis","Chromista","Ochrophyta","Bacillariophyceae",NA,NA,"Fragilariopsis kerguelensis",TRUE,"GBIF","Terebraria","Terebraria kerguelensis",98,"SYNONYM",NA,NA,"7987573"
"Glaeseria_mira","Protozoa","Amoebozoa","Tubulinea",NA,NA,"Glaeseria mira",FALSE,"GBIF","Glaeseria","Glaeseria mira",99,"ACCEPTED",NA,NA,"3210416"
"Nitzschia_kerguelensis","Chromista","Ochrophyta","Bacillariophyceae",NA,NA,"Nitzschia kerguelensis",TRUE,"GBIF","Terebraria","Terebraria kerguelensis",98,"SYNONYM",NA,NA,"7515929"
"Omalogyra_atomus","Animalia","Mollusca","Gastropoda",NA,"Omalogyridae","Omalogyra atomus",FALSE,"GBIF","Omalogyra","Omalogyra atomus",99,"ACCEPTED","Omalogyridae",NA,"2298062"
"Pelomyxa_carolinensis","Protozoa","Amoebozoa","Tubulinea",NA,"Amoebidae","Pelomyxa carolinensis",TRUE,"GBIF","Chaos","Chaos carolinense",96,"SYNONYM",NA,NA,"3210474"
"Phoronis_psammophila","Animalia","Phoronida",NA,NA,"Phoronidae","Phoronis psammophila",FALSE,"GBIF","Phoronis","Phoronis psammophila",99,"ACCEPTED","Phoronidae",NA,"5186405"
"Ralfsia_fungiformis","Chromista","Ochrophyta","Bacillariophyceae",NA,NA,"Ralfsia fungiformis",FALSE,"GBIF","Ralfsia","Ralfsia fungiformis",98,"ACCEPTED",NA,NA,"9270246"
"Spiralinella_spiralis","Animalia","Mollusca","Gastropoda",NA,"Pyramidellidae","Spiralinella spiralis",TRUE,"GBIF","Spiralina","Spiralina spiralis",98,"SYNONYM","Pyramidellidae",NA,"7415796"
"Spondylosium_planum","Plantae","Charophyta","Conjugatophyceae","Desmidiales",NA,"Spondylosium planum",FALSE,"GBIF","Spondylosium","Spondylosium planum",99,"ACCEPTED",NA,"Desmidiales","2649829"
"Staurastrum_megacanthum","Plantae","Charophyta","Conjugatophyceae","Desmidiales",NA,"Staurastrum megacanthum",TRUE,"GBIF","Staurodesmus","Staurodesmus megacanthus",98,"SYNONYM",NA,"Desmidiales","2647386"
"Staurosirella_leptostauron","Chromista","Ochrophyta","Bacillariophyceae",NA,NA,"Staurosirella leptostauron",TRUE,"GBIF","Biblarium","Biblarium leptostauron",98,"SYNONYM",NA,NA,"10927400"
"Tritrichomonas_foetus","Protozoa","Metamonada","Trichomonadea",NA,"Tritrichomonadidae","Tritrichomonas foetus",TRUE,"GBIF","Tritrichomonas","Tritrichomonas suis",98,"SYNONYM","Tritrichomonadidae",NA,"8468935"
"Trypanosoma_lewisi","Animalia","Mollusca","Gastropoda",NA,"Pleuroceridae","Trypanosoma lewisi",TRUE,"GBIF","Pleurocera","Pleurocera acuta",84,"SYNONYM","Pleuroceridae",NA,"8908291"
"Xanthidium_armatum","Plantae","Charophyta","Conjugatophyceae","Desmidiales",NA,"Xanthidium armatum",FALSE,"GBIF","Xanthidium","Xanthidium armatum",97,"ACCEPTED",NA,"Desmidiales","5274763"
